,30,22,31,5,8,13,14,16,2,19,18,17,15,12,11,10,7,6,4,3,1,0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,17_x,17_y,18_x,18_y,19_x,19_y,20_x,20_y,21_x,21_y,22_x,22_y,23_x,23_y,24_x,24_y,25_x,25_y,26_x,26_y,27_x,27_y,28_x,28_y,29_x,29_y,30_x,30_y,31_x,31_y,32_x,32_y,33_x,33_y,34_x,34_y,35_x,35_y,36_x,36_y,37_x,37_y,38_x,38_y,39_x,39_y,40_x,40_y,41_x,41_y,42_x,42_y,43_x,43_y,44_x,44_y,45_x,45_y,46_x,46_y,47_x,47_y,48_x,48_y,49_x,49_y,50_x,50_y,51_x,51_y,52_x,52_y,53_x,53_y,54_x,54_y,55_x,55_y,56_x,56_y,57_x,57_y,58_x,58_y,59_x,59_y,60_x,60_y,61_x,61_y,62_x,62_y,63_x,63_y,64_x,64_y,65_x,65_y,66_x,66_y,67_x,67_y,68_x,68_y,69_x,69_y,70_x,70_y,71_x,71_y,72_x,72_y,73_x,73_y,74_x,74_y,75_x,75_y,76_x,76_y,77_x,77_y,78_x,78_y,79_x,79_y,80_x,80_y,81_x,81_y,82_x,82_y,83_x,83_y,84_x,84_y,85_x,85_y,86_x,86_y,87_x,87_y,88_x,88_y
1,,,,,,,,,,,,,,,,,,,,,,1433.2168602929096,1394.1100784400235,1411.7801639736635,1371.9633548073787,1314.7023780547472,1343.8062829295652,1312.4277745212185,1331.4621445762505,1304.4585563640812,1314.059268175444,1301.0253817165874,1307.6648298062746,1304.5315299743802,1261.9742737130393,1196.6075304896842,1190.9687784508446,,,1109.9958231713142,1070.0264928553097,872.0796615935021,988.3098600898509,859.6423871790286,986.9598118077066,847.0611931653567,986.9039435875018,841.541219502042,983.706823831605,832.0981740727692,984.3244713649817,804.3395173025984,997.3594485950692,797.3416895059837,998.5972690752573,770.0025709887029,1005.4982095706006,763.0395730731267,1011.6044008019305,601.1892323855889,1136.314992205155,587.3822746965798,1347.3653484763288,593.0157858666861,1502.9448147728904,687.2978955705428,1676.4491330246055,847.5747560824028,1770.5444696722213,1009.4309236339136,1763.7320671807083,1145.2504759680191,1725.1816166415356,1323.3596566119943,1589.0828912821883,1460.6306095686125,1466.0204267797128,1535.5602847940427,1397.249024563639,,,1696.3675165520385,1150.166206220456,1711.286654614023,1125.7519971744282,1760.8352386791626,1076.232016364151,1902.8731109853793,1003.5929739477007,2027.9667444936265,893.4763950813274,2188.0155687091874,851.4536603782084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,1142.15845164114,1684.2108718591326,1102.4823147489994,1695.1366046568755,1053.6374315686328,1733.0426677566245,1018.883125560837,1742.0950843244088,1004.6063983157752,1744.9794898644627,995.340194764036,1747.388035932448,971.7184567796328,1699.2615445263448,822.7960522391376,1645.114219530671,776.8155734779638,1583.0975280244274,791.794004575083,1530.50084612452,830.6130175141996,1387.7921775777677,,,730.2059675007531,1194.797235401174,637.5232220278084,1277.4960147256766,560.3085519021806,1449.6269708651962,551.9347508374825,1550.336088330717,666.070908969022,1656.0181324725108,744.511286129978,1752.340341525159,825.9616835016797,1803.7335104899225,925.1438287492815,1722.139095291694,888.02106516,1570.74953036745,855.8103753876866,1500.202762645897,689.2702077996079,1466.603941143844,638.7612796137566,1428.9528149158452,,,555.6476765878443,1300.4680923006113,490.92289700687485,1282.893849021717,,,490.9102778233927,1155.9979077140374,,,,,231.0766126203,1075.7320313439225,231.42363610722742,1150.6886147465402,273.7969072240104,1218.918035820224,350.6230045369448,1269.8158706973827,480.6760371351763,1231.053648249249,483.1487397803554,1161.2279812234715,,,243.23159475989576,1176.8541713733005,259.56490284286934,1285.1040548600708,370.7706377998505,1318.92919277699,597.4402319139485,1213.8002825189444,646.5199773501352,1065.8530128940206,,,,,,,,,,,,,708.7565657239836,691.1794893435446,710.1447263704573,692.4882706821753,785.4924549614433,738.1130135683092,789.4774323645775,760.640617225054,852.0494283747171,778.5965971648491,1012.3135237773987,766.962893311279,,,1119.3972438090634,594.1962310363522,1189.419249849392,583.6549265848557,1245.0998454558262,618.7655144284308,1339.8984860692344,654.1372305403823,1513.1294423754994,726.5479037331772,1583.3931449403792,753.5642622509815,1607.3485985750708,755.6808580096098,1625.9844203035168,754.0338553013202,1637.2531033070281,751.4972851477572,1737.2465295675809,750.4867198561534,1785.1455804155166,709.8661870893771,1812.653974321698,697.027449095664,1876.0903209797652,708.2964636109941,1889.6413850072454,711.9613922813776,1904.8331041803058,718.3286466378898,1941.1621762348866,757.9931868974048,2019.4744752764614,809.8998756071827,2120.6156903481215,824.1325177259081,2271.2345379691474,817.9324313007394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,1627.8197773375693,1079.4482611422343,1623.944659531774,1073.5111757178433,1572.3531748127227,1019.9274001678477,1563.9456823869118,997.1499279283964,,,,,,,,,,,,,978.2525475246002,810.0639976035621,978.0911442978792,810.3160028628153,853.7542020110261,782.6505658694682,803.0546821714155,812.0037068807387,,,,,,,,,543.5521773380627,1009.2831431063845,440.26865305626455,1104.6010521112223,341.78167542101164,1222.4406640655588,138.13162520900684,1331.1833692883285,70.15834899030483,1355.4737485640787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,756.0216432487972,1272.5124748228416,755.2000666315738,1272.1528797649955,783.5607871751532,1326.8943579553563,848.7655401623331,1377.8064001069238,1006.3962366524103,1448.2460384644105,1051.0292286974056,1465.9125536843153,1060.1485353762046,1477.7285856290355,1079.7088889645909,1519.5175563770777,1125.5606549494726,1574.9011456814883,1159.4726010533398,1631.7453745964108,1204.3917219358445,1736.390525323738,1200.9385480982542,1740.8488244900543,1200.2496562309739,1744.4993823266436,1185.0248772581915,1752.317395738418,1174.4443153851335,1756.5855197289468,1167.398717219965,1775.5643334203642,1174.6394385888527,1813.5905870829872,1221.8279795103142,1843.490322844004,1258.4488509676733,1880.8206565440078,1318.1397814596155,1902.5619804368007,1400.5892865824994,2011.5586995387212,1375.58425632412,2139.1241231593726,1345.4630555849037,2325.4843204760055,1331.424177278855,2394.9006467797867,,,,,,,1105.9707501415771,2750.2626320130753,1105.7979500700326,2750.1190293773893,1102.1853050244954,2750.3822198205103,1102.11162512611,2750.368759653626,1102.1666185822603,2750.3866286094853,1102.1836416087012,2750.3562912699713,1102.1533237691046,2750.3869992116915,1102.1195404042476,2750.368303892199,1102.1908735994875,2750.3575936994976,1102.1694871747109,2750.3561418663753,1102.192808117507,2750.3745269284414,1102.1816279809668,2750.3010780615264,1102.1681386732666,2750.352578691983,1102.1976166560644,2750.3628471722946,1102.133511379784,2750.365244178231,1102.1732298422655,2750.3783869132803,1102.1297192127358,2750.3618220303956,1102.114286938698,2750.3688709440617,1102.1095928480927,2750.3635653796664,1102.125272652314,2750.268691087931,1102.1106188688557,2750.4270057827457,1102.1368082139213,2750.3956979451814,1102.164370907448,2750.3407388679516,1102.177599606131,2750.3629933224693,1102.118306132583,2750.409025736488,1102.1068774411044,2750.3865530642115,1102.0861423966649,2750.388028809227,1102.1708803764272,2750.467127396069,1102.1096032581331,2750.344867591497,1102.1533404207416,2750.3602111952678,1102.1209371418715,2750.403517948526,1102.0929772501759,2750.34131642216,1102.2118965455597,2750.2330897332463,1102.1760715548085,2750.323831074391,1102.1648302210358,2750.2824829783617,1102.151120272256,2750.311234211856,1102.1382758694065,2750.325003758023,1102.1257842345467,2750.3729042488067,1102.041210530819,2750.357451928542,1102.0950026964535,2750.3330714480603,1102.0297836168306,2750.379420730674,1102.0927291205985,2750.3326227875446,1102.1232782928696,2750.3301987622863,1102.1058236762017,2750.412073086806,1102.07704904943,2750.360719686045,1102.1122445933747,2750.3234368128906,1102.1076014445448,2750.4284258864523,1102.1002392638345,2750.3432395480418,1102.084190826864,2750.344797622901,1102.177231511267,2750.339600331671,1102.1537465557099,2750.3702494322683,1102.148992711021,2750.3234973083727,1102.200140682387,2750.326721684221,1102.1651061816576,2750.4071848851922,1102.1523437130093,2750.330534958215,1102.1598510345236,2750.402458563511,1102.1507967758355,2750.3356247549714,1102.1525648950535,2750.374638341222,1102.1880979288962,2750.3266314710254,1102.2021855887087,2750.3737054097714,1102.1779670112426,2750.3283097498306,1102.183928778405,2750.3519976437315
10,,,,,,,,,,,,,,,,,,,,,,846.308184083772,1079.2748031714507,,,775.7409803190978,1015.6120393516106,723.9469691125074,973.3042330345918,624.747777992715,932.1177951919543,,,595.7989839522537,916.2216335405842,586.610875126592,905.5388371178415,575.470281560831,884.9612497928017,570.1904164424899,881.6677555667485,563.052933169639,879.3531378758555,557.1688890613768,876.8620711961005,522.8763506663889,868.2207748265669,,,,,,,,,,,,,,,,,285.61745898781436,784.153413957622,,,,,230.76266414694226,769.2057064005604,216.911924947903,767.5724969810457,199.29996253782795,766.7143787526095,194.83355516146474,764.944068329789,191.3037016501571,764.2295322207632,181.7399265032725,762.9609336138323,177.7628950693963,763.1124698700321,169.84284765920282,765.0667229761642,99.61775467459522,770.0684197207328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,1519.77634808177,1683.5426616272377,1517.449646270184,1694.7202687872257,1517.5818331734658,1697.591003907308,1517.3651517356968,1704.344365403035,1514.3677836762388,1724.7262674287344,1493.1014701070706,1768.929233530687,1430.5244825635718,1860.395607629974,1428.5790175387333,1862.8783346995617,1316.1622432176418,1882.7664496553523,1303.4005887557837,1877.0711705470687,1289.1908285784698,1871.9319346396796,1283.0941546220117,1878.2102340805552,1270.5435844149733,1889.2966598294684,1249.7266307936034,1900.156195881573,1236.7599572058277,1903.64264386755,1245.4107825227368,1915.652881572341,1244.1374446024167,1958.0931678619145,1226.6397958898408,2005.0398335105795,1214.9068796210695,2039.971142037621,1189.3600198868824,2022.4047827127333,1180.8077925900304,2003.1574203421048,,,1149.0828776636606,1952.5512875787388,1107.4622303109904,1934.8405555208265,1053.1298762936033,1918.82354151235,1044.8968061782111,1922.7049929356206,1009.6026582934429,1913.6566678879403,1007.7436749276196,1914.3015080726889,,,,,,,,,,,,,,,676.5753819902421,1067.4889234014568,610.6862431511744,1075.9501166826014,538.599133582797,1051.8946956199945,407.0898990984486,1100.9317018573565,308.6428311581695,1130.5641789972076,,,41.26396516133455,1122.8860804635983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,1275.8544813931292,1507.2320533885165,1277.550616892555,1507.731635957886,1271.8548603506683,1510.1902894630111,1250.667404724182,1493.8492201642005,1217.3373833858946,1466.3609084423317,1216.2437967241176,1449.7421970965622,1227.6231147765561,1451.0891234654414,1241.8086360069747,1475.9439183977747,1280.8548053275974,1505.3220482257302,1296.5857729138202,1528.819882041045,1284.8192580926825,1563.5195799765409,1277.4781840892076,1583.287960362855,1276.6509998328916,1588.5664265708535,1274.6762197907574,1604.2737876300603,1275.023613231418,1614.7675442883894,1264.7132579312515,1630.6101979955836,1258.5132590426626,1659.7279853573418,1262.4036162550553,1674.2977698004847,,,,,1168.2179151352766,1799.2203908114152,1101.3451869331204,1836.4919372574473,981.5115439227725,1881.7046076266124,916.8300111640482,1922.0464689974776,811.3836170435409,2011.1216464178294,755.8335513304299,2057.960960603067,659.7475642750068,2133.11961297723,597.2694873946355,2180.7192095391924,448.6450187004004,2288.853279438599,379.0642349580586,2339.7540650273063,366.33464950750033,2349.786429537334,308.77661344623834,2390.6285525491617,245.73506826776494,2434.8819567945693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,1411.554203406875,1009.6677976425158,1410.6850930178264,1008.8538372412306,1400.3200055193367,992.1693592240268,1389.4991483198023,978.1526968337887,1368.6566299148164,967.3094534975781,,,,,,,,,,,,,,,,,,,,,,,,,,,883.393003523356,866.4773987228358,,,880.9363127556873,865.1877293933363,,,875.5819976959332,863.6746466231448,874.178213432068,862.3630774245345,,,,,,,,,,,,,,,949.2715801204412,500.5785144014233,960.0816147937643,496.6020799888706,1082.0780082107008,486.819594088969,1132.6060164604007,490.23571112988884,1236.252569578694,457.9113838314891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,1082.6987726399855,1435.799753511172,1143.711885946075,1411.416971734267,1165.9610626507174,1387.7067800412563,1160.7272223322796,1362.676749026571,1150.0607543527808,1326.3213993656236,1147.1806491483894,1311.1248782977366,1151.4280329765356,1334.9885288433195,1148.5803422697095,1368.6693794246037,1185.2790715768583,1394.76807719656,1183.5309346425904,1429.3499947431326,,,,,,,,,,,,,,,1090.6774715841689,1725.5512815719087,1049.5969841789638,1876.2414321866595,917.9746903979018,2034.0325423080071,,,,,,,,,736.8922843553472,1596.5694749033012,999.3975227434358,1622.0343052011672,1107.0305745939431,1534.2875560439225,1287.0581436049201,1526.8281189611491,1285.844823774871,1677.0150034004328,,,,,,,,,,,1167.4028911235162,1262.1828777782048,1069.698920859607,1432.499167647549,885.7447131109475,1516.4834503235554,,,548.1354510809538,1547.8367615263796,473.31625367386965,1557.500987965983,,,445.1338554881457,1319.289705883874,,,522.8559259897721,998.6438067930382,608.6930991117878,862.2327243359895,655.8573386243916,833.6119692213441,718.2349768174187,784.8238231991876,743.3750746138187,765.4209453591382,869.0188031145285,696.535588056212,906.9584560839123,692.3209634723659,1145.7039385955743,659.7633704607343,1200.7225141464562,774.0481464604713,,,,,,,862.8376098154976,969.7807353572002,823.3866263960716,996.6516807219332,571.1397889931252,1033.6401133057643,364.9662410148179,1128.3791610807104,,,,,,,,,,,,,,,,,,,,,,,,,164.5179328635751,787.5670968048946,169.49077628344529,782.9739844833271,,,,,,,,,,,,,393.9251556986086,518.325684133865,432.3645024094139,512.979275075354,465.58798269714396,519.0501853464539,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,952.3091973611872,1595.4121143440943,951.9312589879696,1595.7494540794896,949.6735124331123,1594.9616294103555,944.7148423900096,1588.3595364580908,943.5374864918165,1586.5077351421635,942.4597480055953,1586.604197457525,896.5419508573864,1543.1377081967833,873.8970993192543,1420.4873545361115,802.3155802366925,1264.4819356689445,634.2513418192993,1244.410878232303,571.5935248202742,1215.754909407813,482.2781849268927,1141.07936963322,393.436349601601,1113.4876961710845,245.94886182461659,1138.3837460857867,183.89430107616204,1118.5133700923839,68.81142465741264,1155.7244445100118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.2937341004747,1870.9690350848973,320.19813100510544,1769.6324799308088,414.36676686383566,1679.8288098799471,476.7480310523151,1596.4120633524485,509.51460771607253,1433.8204797835906,531.2592025680384,1296.5267280127807,455.2743098290763,1169.1301322529519,386.25711460330893,1073.3074907426846,218.2842599652427,1040.9527876189463,124.00189062966899,1128.1707986487686,70.19701108680607,1242.6134721884414,,,,,,,,,,,,,,,,,,,72.52544349398961,2116.637770414973,124.95441058439269,2235.1664678019397,262.8249123229559,2271.476111476476,413.3456991535975,2277.548222522466,564.7807410146224,2204.828729299227,636.6484942960454,2018.036195347385,695.8014469822268,1955.8083356241832,711.0871495997595,1814.6468461469549,580.2738497054258,1702.8990502328693,481.94786002797207,1688.676951281528,363.8997944982085,1687.9530663481569,309.9733498032624,1634.7225100687085,220.52552085152135,1582.1083400419286,143.00638317314937,1508.09706603591,,,,,,,,,,,,,,,,,,,,,,,,,,
