,8,0,17,5,7,15,13,10,6,2,1,19,18,16,12,4,3,0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,17_x,17_y,18_x,18_y,19_x,19_y,20_x,20_y,21_x,21_y,22_x,22_y,23_x,23_y,24_x,24_y,25_x,25_y,26_x,26_y,27_x,27_y,28_x,28_y,29_x,29_y,30_x,30_y,31_x,31_y,32_x,32_y,33_x,33_y,34_x,34_y,35_x,35_y,36_x,36_y,37_x,37_y,38_x,38_y,39_x,39_y,40_x,40_y,41_x,41_y,42_x,42_y,43_x,43_y,44_x,44_y,45_x,45_y,46_x,46_y,47_x,47_y,48_x,48_y,49_x,49_y,50_x,50_y,51_x,51_y,52_x,52_y,53_x,53_y,54_x,54_y,55_x,55_y,56_x,56_y,57_x,57_y,58_x,58_y,59_x,59_y,60_x,60_y,61_x,61_y,62_x,62_y,63_x,63_y,64_x,64_y,65_x,65_y,66_x,66_y,67_x,67_y,68_x,68_y,69_x,69_y,70_x,70_y,71_x,71_y,72_x,72_y,73_x,73_y,74_x,74_y,75_x,75_y,76_x,76_y,77_x,77_y,78_x,78_y,79_x,79_y,80_x,80_y,81_x,81_y,82_x,82_y,83_x,83_y,84_x,84_y,85_x,85_y,86_x,86_y,87_x,87_y,88_x,88_y
3,,,,,,,,,,,,,,,,,,1341.1302583687598,1360.8590700037705,1350.6915381597569,1335.586601872458,1350.0362261302805,1331.6923078764364,1348.2350190409652,1324.5144633585455,1337.3076644505509,1308.2700939529761,1343.5858810538239,1304.7638764936946,1348.488015481947,1299.8246194013955,1353.3608398915555,1295.6287217521844,1362.749689418953,1288.2506148928276,1375.8018016786298,1289.1028763828203,1384.161562426478,1281.6653375252372,1387.0830035382203,1275.0500378388522,,,1384.9097087151135,1265.953458218834,1382.9824666181694,1263.6277905400511,1381.5070934045177,1260.478803339651,,,1379.2326002693287,1256.776045486701,,,1378.312713515388,1256.212918209302,1378.2709878465262,1256.2379534300737,,,1373.160184199082,1253.8596346481868,,,1372.7627839701347,1252.2980159837316,1372.710378572652,1252.3735390438296,1372.6982398348478,1252.2135809372035,,,1372.7547463602696,1250.5631609225693,1372.8322523670163,1249.1783058171543,,,,,1370.7336136219487,1247.1256818581696,1370.705269521663,1247.1340085228096,,,1377.516451677368,1246.4481545713825,1378.26817712796,1245.9498423482253,1382.5721423107093,1244.7165802625161,,,,,,,,,,,1468.789506201765,1219.6071410242066,1478.8299402965615,1219.4225903306356,,,,,1483.1799603026423,1213.623825965876,,,1482.999153939044,1212.600921395074,,,,,,,1483.198715541925,1210.4574317059307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,1010.260027809438,1353.2001204869475,,,,,1075.8620930609675,1331.9331637943926,1067.830839197992,1300.8324307650987,1073.8100316832547,1289.2191214740897,1078.657208944838,1284.1920232261834,,,1090.6504508652295,1262.4923298091926,,,1161.6287179938852,1280.7475543378278,1205.572399784358,1324.2056635107601,1313.1393777223016,1433.9129893589231,1439.664372643885,1520.7776084111865,1529.1362396789843,1588.9787511806787,1598.8113184011202,1678.9559571765406,1632.3101586684013,1809.299244532504,1616.6953864430695,1875.9711586879646,1590.6409581701264,1974.3940383887461,1606.950611891597,2017.1787940417144,1610.008653295937,2067.70557176291,1615.0941934450116,2072.307119629486,1623.6729146445002,2160.03411360412,1636.456585728124,2184.155668232501,1803.9427761262966,2304.1727014013045,2059.9593721521196,2343.729965672695,,,2425.544543199578,2300.637572962651,,,2345.404300243515,1961.6660130216626,2338.8983693573605,1954.438973647929,2284.671803157584,1823.712831331731,2139.615382529978,1676.6289749458874,2139.652751135399,1676.2409403185713,2096.994175047663,1572.8828941160934,1973.242259763765,1484.8302493585443,1841.3163474181554,1423.8611271366963,1696.9976109654474,1388.7537635236533,,,1443.2847732336124,1395.3502106202113,1295.6758811147183,1376.4102388092124,1182.9672329143502,1359.11837392369,,,1077.981609684888,1425.541941524995,1053.969558403836,1428.9092625646556,888.8065285424685,1432.4757250303926,720.4005770075236,1486.547424411689,535.990532014651,1462.3230344783574,,,91.7101901364521,1376.6576368981803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,1289.852466733417,1007.4260394963623,,,,,,,,,,,,,,,1449.192900206259,950.9957244977666,,,,,1478.6210693847363,896.8312857536304,1495.7510728032382,868.8851103489798,,,,,,,,,,,,,1506.2171812858608,858.2137114093567,1506.3443584383751,858.2091097685402,1508.2359717039644,857.6647634360804,1512.2748187687055,857.3757634859945,1512.6086530640077,857.7616391621726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,910.7320655186608,928.9712605746265,904.6566495625032,928.0768399118176,895.1440526856874,926.3067113471174,872.7692573865479,919.053865240026,858.8686499834333,913.288857053826,853.9783952218053,910.9370354932929,852.30739867691,908.7086916757232,847.9825218901469,905.0665883688285,843.2704144463148,902.2729725209755,837.9424276354881,900.3161339911777,833.7326159057133,898.31039033853,825.637316788103,896.0851692068746,816.345897391636,895.4676713992686,815.4321513009041,895.612773362715,813.2290272053507,895.7587715913858,810.911935574096,895.9891595734987,809.0343494611103,895.9499842534862,805.5315876647368,896.6889456980222,803.7586315271976,897.0131270129119,802.1608099935166,896.9884836880552,796.4487970814646,898.0875621633102,794.2338133679806,898.5710379008074,792.9676060751115,898.9652952734742,779.9997610257944,901.1089902742093,771.4969227170376,902.2710095828638,758.3513759813991,903.9689307049413,754.57848548537,904.7275524421501,753.0380033955811,905.6981164904382,752.7459352674541,905.5650117021513,753.0758058641726,905.6578246689145,752.8039924595867,905.6452701240117,752.6406538927719,905.4886113029097,752.7168825847899,905.733890371614,752.8967463843281,905.5613902211255,752.908875506646,905.518789203665,752.6836232086451,905.7091194122042,753.0807906597934,905.4210830690538,752.7573323170622,905.728710581356,752.8923689932816,905.5384187185226,753.0078988300189,905.6851766161936,752.8603359292808,905.5264543675744,752.8826785989922,905.6275448280957,752.6391400462347,905.8005573734456,752.5746286988407,905.6561500954718,752.8867169603668,905.5992021348579,752.683861525399,905.6866238352837,752.9429870382003,905.719797310078,752.9274136897506,905.8181393330066,752.9994794501498,905.5710904534402,752.8616416778417,905.6460926336923,752.701365224814,905.6585780404816,752.8301357785114,905.5468339636185,753.0198458360301,905.6718897509068,752.8371864556764,905.7117231017736,752.9166283482996,905.4138788198063,752.9863929922006,905.4780505026399,752.8377774429969,905.5058537753091,753.2070388423998,905.6046309869013,753.0328260541318,905.492610467098,752.8327128135869,905.3905037600249,752.8270762099268,904.8926131412859,753.0518386945741,904.918412734357,752.9065244868466,904.8436637993045,753.0119951030058,904.7821072567543,752.9385191164874,904.8996112998298,753.0385116580109,904.8554870169277,752.8332295738456,904.8970345319863,752.7099519533976,904.8592595755058,753.2052183696874,904.3577551175699,752.9729911314026,904.2545042211656,752.7655585025843,904.357127585783,752.9363271704347,904.3991707183719,752.7452906723556,904.3355713659317,753.1642235151136,903.6096148176365,753.1624020347524,903.511086418612,753.0601498079495,903.3872534232587,753.0614740006505,903.4553710972204,752.7170221434116,903.5593499602716,752.6772210147734,903.1247149123155,752.9046937879722,903.0145774850563,752.8478591927405,902.9925202329541,752.6314469974292,902.8942202968396,752.8471720856082,903.070049474728,752.873459505876,902.8482430779192,752.7134537633281,903.0595951415368,752.9448601137109,902.86183889066,752.7264652618067,902.9699418444804,752.7911651937891,902.9315573367575,752.5474747513383,902.1609430045111
18,,,,,,,,,,,,,,,,,,1558.900961001201,1534.3872843041975,1496.4620005351137,1512.6691745872147,1501.6431148666763,1516.9226722508802,1506.1440279384392,1519.9796263627998,1511.1250019588742,1527.3705464328982,1506.7268804032842,1537.4441459185412,1499.4926503631227,1553.5727022175558,1453.5947151371272,1588.4765635829676,1446.33748292379,1596.9071290815818,1428.1018167546476,1624.436519324868,1325.4069020456925,1624.058704187221,1194.0212484095073,1644.1900692669415,1078.9342716659762,1747.5005599372807,1062.9866789197945,1874.8103532307691,1099.073387738952,1992.323511247551,1142.0186116510342,2033.2602034657966,1185.4736386066736,2079.9492073273536,1330.200374052148,2123.0250189651592,1428.5734548238495,2119.115028619416,1489.534049970156,2143.109004658722,1453.6431874347577,2149.3497019906067,1454.141363588582,2145.936951523602,1438.687965838719,2139.4861372341643,1452.7837601981582,2124.3390695755875,1598.6070424378056,2047.57593418284,1641.793967257111,1950.5534065447573,1619.9146102122747,1793.2383590638165,1616.95510997961,1781.8096552609197,1616.6282490403332,1781.613557784696,1614.5351700756787,1782.1233373858336,1620.117809401776,1782.3596831185282,1631.182194663065,1780.4392166640262,1615.6358531382389,1769.8716180085962,1590.8443786329226,1748.5485190297197,1566.4331493090021,1733.648713368355,1540.6422375870018,1713.2708668427651,1527.912616685413,1697.8805353390596,,,,,1329.9881242876868,1668.5886696548425,1288.0787469118254,1706.4491362178464,1265.7731778047394,1742.4905558348144,1266.2179807032114,1777.043059509939,,,,,1367.8047140299088,1954.1607977585318,1423.9393120450688,2039.3699882135977,1462.5088672462816,2090.5730544342155,1607.0594439589827,2176.0568400321863,1727.2773591854238,2191.028017349984,1896.8219796767708,2154.4645056908594,1988.6619942425496,2090.4022869588907,2055.393876772396,2043.3284772165755,2096.9937795533283,2029.9850704326288,2191.801006858858,1982.643894077383,2296.0848496475605,1955.6624958581738,2332.9123982738065,1947.518978213865,2397.493645209829,1893.6129027834504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,1392.3621448210079,1161.6673211283899,1386.9678711708077,1166.2788387664139,1384.9456949992255,1169.6942103565889,1379.0664587366073,1172.250319599553,1384.92318645501,1173.9227895366162,1397.3750114673971,1171.823099206053,1404.7114694164472,1167.6355030403267,1414.9193308928434,1164.9867061598802,1440.3572455117148,1161.891317542996,1474.1072242215682,1171.3576238466133,1487.5915977060886,1167.498311036934,1500.324996019846,1166.1634317591204,1513.3026407219256,1168.7648220573487,1524.7613738145185,1175.9625535505922,1530.6560889276786,1181.220747408457,1540.8608146901363,1190.8716686311366,1552.0439029149798,1205.604947295274,1554.2687053593572,1213.5475704316916,1554.92467559527,1215.8410255129647,1555.155798334194,1217.2432948151732,1555.1386031387656,1217.673341327785,1564.7754158066748,1267.2292260072222,1531.5283847217763,1444.6246360487994,1506.4596474422613,1572.8164715140836,1488.7533580657907,1625.2771159842423,1488.6149812377041,1625.8146047860473,1512.80812002881,1654.931829074849,1524.624696023918,1654.7593613471427,1524.164832920968,1655.241853565936,1516.871185561949,1658.0687249565644,1512.5625329070454,1663.8600145949983,1507.2804222216034,1675.5728663548161,1438.7387462146846,1735.4018973213533,1401.3708119290618,1776.3306496265245,1379.9149520112185,1786.5849177021485,1363.3513569102427,1795.836048916083,1358.3767007603285,1799.2276708233383,1351.6958415383817,1804.1136421699891,1297.142113211389,1842.7430290060586,1292.4697269132116,1851.8204955070717,1255.5503070111881,1887.4667154426108,1214.6199445468205,1926.3838632700338,1196.7589751684434,1949.0137563151611,1181.979812712423,1966.9738666174535,1160.1363319828279,1990.9513135494042,1154.6705482485997,1995.3020221425627,1114.505795346691,2012.4298202489158,1105.2026561158796,2016.515443745574,1104.837042849473,2016.6627132166518,1104.852168700392,2016.5920695673476,1104.8439063093701,2016.7536237423535,1104.920130422715,2016.6512654239743,1104.4101760741344,2016.7115324809424,1104.4512517510266,2016.821952927602,1097.4063984807294,2020.097353459747,1081.6065170510908,2025.6141774930477,1072.3408529719636,2029.2214316356142,1019.872063028972,2041.8620619429462,1018.356438526312,2042.0143560893046,992.4756953494448,2046.513514195294,987.4168481228478,2047.3931152263838,987.5168605852771,2047.4980806410972,987.7899732653715,2045.2035251816394,987.3776574515563,2041.3992447999813,987.8338082985056,2039.3523385080405,987.6981429504868,2039.366202045873,928.0503650733909,2041.4934232432317,927.1015474068531,2041.4013593642874,797.8369201666918,2016.0251487735688,793.6170539701727,2014.5548490723215,792.2739186681434,2014.2340490617046,782.4122180759024,2011.3286699069047,777.775792291465,2009.603813944349,760.7671411953906,2003.9058985009603,733.917120857234,1992.6676261051418,714.2211325051195,1982.6864280491056,656.1314716219609,1947.711619171546,624.7069275130391,1922.175290662669,622.628602397809,1914.8934017872987,533.4274276381421,1800.9549804282642,488.2967064127408,1708.9290424005994,486.29390274353904,1704.8765452179541,,,,,,,497.44892487155204,1238.2303035229652,576.2647342488024,1101.128772683886,573.3493757886871,1094.2852346071877,571.9820123945166,1075.9388166936326
1,,,,,,,,,,,,,,,,,,1194.4149254918852,1110.9379532782473,1204.7828755458975,1094.0698359538644,1206.0527558993329,1086.7497345057657,1218.9372103320961,1072.157234402476,1256.103367205966,1050.713232259255,1258.6288684940632,1048.2360073756063,1265.8992867435195,1043.9863417333086,1271.3871251291077,1036.639961513242,1296.2768239619072,1025.1177529713086,1303.6865065042773,1012.8250148230379,1311.2241726793447,1003.2693606483664,1322.4701043505179,993.4535024120511,1330.5767484737514,982.1262175815897,1332.7983471776456,976.9631381400867,1334.6656409575517,969.9796602824188,1335.9282925783812,965.1691048481295,1335.883542644002,963.0011402375372,1336.3698688427542,957.7309158764162,1342.9739347570112,957.3740260480778,1347.132746869799,955.493836931677,1354.3034161524859,954.9821500536515,1354.4664651985117,955.0606520694519,1356.5988006674609,955.5840379057171,1358.863495568829,955.2906402521861,1363.9855306120376,953.8060648742039,1379.380624626187,948.7908003753232,1417.6511323762343,932.3762777034253,1420.9277314864457,932.3970890129616,1426.281743938422,933.1853876442593,1469.7643930982774,916.1969754261537,1479.882818129302,912.038665025264,1479.838675276323,911.949187373491,1479.899165136229,911.9184613202739,1481.1476463267636,911.4549099640473,1485.9539981829869,910.0699584626251,1492.1921395754125,909.1609775158363,1516.9991650756217,893.0855921149871,1521.2079272819312,891.899937178464,1524.4762632134575,891.3329340570377,1524.6026399053303,891.2486010387981,1528.6460990300627,890.5535307485881,1563.4728978589005,891.043155379632,1567.911712659103,891.0824128733603,1647.7176247626255,856.6560282920312,1686.8762943882355,831.6756161585921,1864.792540277743,763.1438683748266,2026.009818814755,769.5012812946875,2101.5488112848284,815.253633758543,2102.8831595219503,817.4949196061838,2170.1186375443385,889.8425815412282,2174.2054295674307,894.5692670042051,,,2083.2180060296355,1120.7386798980197,2080.307031675244,1119.2395789946524,1955.581223032903,986.9464591171123,2144.209862108412,845.9941472517219,2138.5466759057263,971.5516397940156,1983.470620329539,992.8608402155298,1796.827757476038,1018.6927333236869,1738.9597761714901,1149.985952038104,1807.4927852446176,1223.123365947454,1817.3151301625746,1359.2556717084328,1836.3642928103882,1560.5162697879603,1626.6921920876446,1471.9268237324525,,,,,,,1513.3916652907017,1270.620655661503,1671.8317668155692,1278.2283794692391,1675.1673767756154,1280.0736732070525,1675.082273977211,1280.0599169070133,1675.9032841891394,1281.5209411233122,1678.1627776838209,1281.5667389268242,1729.383163567729,1301.3473851018036,1731.1598298795232,1302.0162376408605,1732.7800799490687,1303.6772836059702,1735.0252015648384,1304.9839041504936,1914.5421388909913,1349.2100431374117,2176.676493544306,1374.5000610131433,2220.857440665846,1420.44494223828,2330.4101903242968,1628.8377373037163,2248.547361004947,1655.7597094841753,2241.1354044215886,1656.9494752194425,2224.2519468279934,1655.9403668989087,2140.216288122539,1699.7312300070503,1748.030783792111,1828.863595489376,1546.5590994777529,1775.4926919274938,1454.7120743524592,1491.963503834781,1530.8261180194156,1365.6298768532122
2,,,,,,,,,,,,,,,,,,1179.4698713062949,1388.5757030306468,1219.827701930034,1255.7344934423757,1223.3653596774745,1248.511034733872,1228.0844710427666,1235.9797035114427,1222.036567949661,1212.2041771052207,1233.9354017390267,1208.1372147827876,1240.199316737113,1200.9046399306828,1249.1966930268293,1193.447884410684,1268.0540897917524,1176.5119011050695,1300.4427360894292,1163.8866813142924,1314.0138400275534,1153.3093184274987,1327.5683668824952,1142.1321358623297,1342.7867447639132,1130.3122865358532,1357.5746218552017,1123.9849854869324,1367.1149612235224,1115.2078242437385,1386.164408579641,1104.5357396246598,1423.8744852136524,1090.1423767879703,,,1691.1007118994921,1086.6498757415834,1796.811752358682,1196.3401241570016,1966.8886724793567,1300.8179677077746,2140.782117137458,1350.980406354972,2279.805513716647,1390.3335119502512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,1358.9542452696182,1589.1622587006182,,,,,,,,,,,,,,,,,,,1435.2185090955932,1448.6668004222565,1534.4558565182297,1450.8206491624342,1670.5602919220514,1460.1366119811528,1783.4544131446276,1537.3120631626866,1842.1169367819607,1684.7047879800996,1824.3026767371014,1790.6740846810835,1797.6749032969149,1889.4423554691473,1765.7223532439875,1984.0381767521742,1708.224329764792,2116.2237447107755,1662.0015597427946,2194.2140108093604,1603.0810689559723,2250.1073817154315,1554.6623831370084,2299.8197755977258,1474.5274329084789,2337.899487572639,1361.9739054520232,2327.356908823846,,,1171.6650021298324,2209.3960007813293,1139.4561945292833,2086.5194108559153,1235.234942401009,1915.3365124520412,1211.981824792403,1849.1708600893905,1371.1967610028803,1791.6299218739875,1441.1826771400542,1809.0425582951118,1457.2526078537612,1830.3730305767715,1491.5558104706074,1902.106750787856,1582.115525612234,2045.0523670458313,1543.3062145149004,2207.476098532582,1596.997477734918,2269.5291321314257,1528.3152014198383,2392.0318317076576,1332.1440770879844,2438.656464005624,1216.555189828991,2429.414865054069,1122.7734985979212,2405.2771772442125,1031.1863191228315,2359.5989579310462,994.2209485253592,2169.2611716045235,993.6787117428415,2053.7884543758228,1005.4811614418298,1986.3824274242918,991.9214447681725,1929.262692316039,988.214313925913,1857.2936737446485,1129.312892829027,1796.0346810001297,,,,,1293.662273568631,2181.5246463911103,1104.9688290037914,2235.1368673683296,952.6697914046989,2125.0909737001657,882.3276061139305,2019.7811184058853,941.045156558714,1849.3724011724125,1128.2351115567994,1785.5023185408554,1247.0786538846028,1759.5691337650412,1389.467471712005,1855.6658456783048,1431.193101809223,2016.6094435938257,1391.261516166333,2149.5007131778148,1390.3675431017534,2241.0817608757056,1266.4388378127994,2325.3843395648264,1116.488748158472,2351.2723433849733,973.0055985622616,2223.2049444191393,920.5560993350566,2205.7135541429657,,,768.3651176403533,2121.085141547891,727.5298924548272,1996.6801565848666,851.6388703377701,1843.4086674779048,950.6871649148754,1789.9100892400152,1110.184394368156,1822.4730248156177,1213.9953469176546,1835.0324694168423,1304.2433151589023,1920.1930724206545,1334.4829448029147,2049.2986229348367,1233.031279070236,2221.0375881245623,1042.0155554663372,2246.3840687996317,874.0926017653959,2128.6021475741245,782.1269146957538,2148.6578255845957,691.9183644541505,2090.975130419423,,,690.8302378384894,1956.2297126723722,847.9404440461225,1829.961497694619,1031.472876824657,1850.2647583369528,1111.5192792414975,1816.915305641894,1225.3073870392855,1834.008951761264,1318.434338684037,1940.5818750898693,1276.6187972882099,2139.414158826259,1196.4525812602467,2243.8391074221704,1028.9402278916568,2286.9088373330264,887.9918341157287,2265.9443873305163
10,,,,,,,,,,,,,,,,,,852.9201169312353,1622.6224962025035,843.0481482202025,1635.2906498872412,781.6699225877138,1668.4289467286521,729.7516115266941,1665.4395618896597,759.8176079657861,1504.1367670992943,879.2030851979405,1544.0995450453206,937.0687721009241,1686.4820894595878,930.2598328627563,1754.5613326248417,734.3391157804363,1726.8074202159644,791.0354771638007,1593.7560567603666,867.0380948642432,1750.283813970769,745.9317130041073,1632.1173177246828,745.8078726629883,1632.1327750104003,849.0871792876246,1525.7998361259467,913.3486065071517,1504.6435834781835,,,875.1685987292715,1702.2256464533184,796.3462872585173,1582.0159213958955,793.9224980940194,1500.764146774084,959.7799514425845,1480.0474862112944,1021.2735457890459,1502.5967027545041,922.0263846834113,1668.2479574226745,975.8467656078445,1490.6026153559956,934.1399633389369,1692.1393202828863,818.7397482850594,1609.6803516769428,772.8456171615588,1589.6875923291664,724.4429619935338,1590.7501866829764,724.5210444337228,1590.7253787132336,739.2726652039056,1409.3780303875028,817.2483887648912,1384.3094081087686,951.8317399312091,1471.2354268812583,741.4239008135715,1453.2396314515004,956.6595518857044,1421.7745248814085,1015.8906353709017,1488.9321171232855,816.7931793443357,1565.5292010416028,849.4011377112067,1389.4294957866591,916.2512529370763,1556.5036967132323,851.6690642633408,1383.9870641381642,958.685736767208,1537.7091567002594,851.7839725808245,1381.7706613552798,878.3735822948603,1337.530821002751,1018.548770260828,1288.3728483655775,1078.4135919899786,1260.3522213740175,1129.4764018922847,1273.8203646908855,1164.9999374854983,1298.356168700211,,,1008.3615178811307,1245.8195875393517,1008.3148416986985,1245.678224037584,1004.2387986957165,1213.1844332417222,1172.332398966111,1145.149001572263,1172.3267393605313,1145.0043289500409,1175.7481794075668,1147.8377650327332,1197.155946194337,1187.8218937925433,1198.838345944006,1196.5306407535272,1199.0212131189392,1196.5320731431732,1200.1175157834443,1199.120459568902,1200.1971899702382,1199.346915212354,1200.6272590884003,1200.5898181651335,1201.8001364579845,1204.5996418325915,1201.6753253506376,1204.6293462476901,1099.492183987907,1302.1474067147892,1020.0023283651797,1292.099468895733,962.2192651752082,1148.9259924615196,1116.141042140604,1176.6799811353999,1152.0874579489666,1193.3243055940377,1212.5428015603134,1206.0696935973358,1148.4497236515572,1364.2009418220334,1124.3765274919347,1195.2692762738934,1239.094797969773,1297.9570434919674,1243.5807489596841,1334.8941139323788,1205.536654022429,1437.3699736823835,1153.7882232738853,1483.7034181000636,985.8839456525807,1441.9633975539805,1028.7709098115347,1333.6785031219329,1126.7853849361702,1293.078789928613,1199.9638272246266,1429.9975554809528,1049.5919748203726,1488.0305584228827,1171.014790517371,1343.1523267235928,1226.2759817133265,1446.7883499791676,1042.2410624617587,1468.1100983221202,1041.0960311077458,1466.6111474838945,1056.3389529730382,1358.156421374267,1180.5578993678635,1285.3428687453302,1211.4454079940133,1437.3201355266542,1122.7896998508027,1304.6480502190261,1225.5761291876865,1438.2065723299438,1081.7967188064065,1491.2765362456803,1117.9391515891848,1330.8176484747457,1185.9525304060855,1498.023351665809
