,11,17,14,7,10,6,2,19,16,8,5,4,3,1,0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,17_x,17_y,18_x,18_y,19_x,19_y,20_x,20_y,21_x,21_y,22_x,22_y,23_x,23_y,24_x,24_y,25_x,25_y,26_x,26_y,27_x,27_y,28_x,28_y,29_x,29_y,30_x,30_y,31_x,31_y,32_x,32_y,33_x,33_y,34_x,34_y,35_x,35_y,36_x,36_y,37_x,37_y,38_x,38_y,39_x,39_y,40_x,40_y,41_x,41_y,42_x,42_y,43_x,43_y,44_x,44_y,45_x,45_y,46_x,46_y,47_x,47_y,48_x,48_y,49_x,49_y,50_x,50_y,51_x,51_y,52_x,52_y,53_x,53_y,54_x,54_y,55_x,55_y,56_x,56_y,57_x,57_y,58_x,58_y,59_x,59_y,60_x,60_y,61_x,61_y,62_x,62_y,63_x,63_y,64_x,64_y,65_x,65_y,66_x,66_y,67_x,67_y,68_x,68_y,69_x,69_y,70_x,70_y,71_x,71_y,72_x,72_y,73_x,73_y,74_x,74_y,75_x,75_y,76_x,76_y,77_x,77_y,78_x,78_y,79_x,79_y,80_x,80_y,81_x,81_y,82_x,82_y,83_x,83_y,84_x,84_y,85_x,85_y,86_x,86_y,87_x,87_y,88_x,88_y
1,,,,,,,,,,,,,,,1567.0059048794858,845.269703291416,1564.2584241011928,851.3080943069764,1525.4089249976696,896.9178768966071,1477.8395054195105,980.6662960822052,1452.5526082511128,1055.2223762927765,1339.8750436277826,1154.53379437062,1305.977839300508,1192.462954293141,1310.7126875953961,1193.8774013330124,1305.5023018718607,1179.9196104447997,1296.6496173849707,1167.1113720080295,1241.6981950649729,1132.6209154910764,1195.459868467449,1132.0501443558917,1119.7923424902538,1140.416128981133,1115.7522852304326,1143.0553620918106,1112.6802976955287,1141.3143653389197,1119.9509422040885,1123.790528409771,1125.0903458180544,1111.8476316721199,1150.3570002491856,1078.3550237920836,1184.6009632294222,1017.5810251686436,,,1200.1975174733088,991.0197538972457,1217.6189234744254,985.8880250913732,1243.5594055556667,980.7800861555127,1286.5366756373091,990.7989008156969,1376.3724758657163,1032.5266776466287,1437.7241970206392,1040.047190794858,1442.1282466798443,1036.9594448364883,1522.6966497384471,991.5888892315353,1593.7363122899833,966.6120073674755,,,1641.285374503628,981.8713179722146,1644.7927976210299,983.0524848628868,1644.9442590429148,983.0191233764809,1677.1479886505706,1003.8402070486356,1832.88879106203,1102.6450830790925,2021.6244318936428,1231.3206820705502,2144.375699947327,1413.3416052058042,2006.7041640826296,1534.6237273377412,1962.5819374554644,1667.3455146411768,1726.9210301200083,1714.7418813048253,1625.0955981902932,1886.6390931862595,1602.0957846100628,2177.1858151739793,1531.4322145308872,2352.3290248132116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1599.4843197897055,2752.2324336138663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1599.4385036105177,2752.2856155626523,,,1599.4928786311116,2752.284110602366,,,1599.4598870622158,2752.296332393601,,,,,,,,,,,,
3,,,,,,,,,,,,,,,1503.9695216430785,1213.443320091493,1506.5217441641232,1212.5057987727805,1515.4712236669986,1202.5432631441581,1525.4789589999527,1184.845518151782,1531.954335876666,1180.7134587157275,1543.4619787507459,1178.2211657279959,1548.1510310883255,1175.2052896988587,1552.7706493457833,1171.955657221901,1556.2396180350531,1169.7179883794433,1559.6816341494523,1167.2972701046663,1562.0776551935444,1165.0849765546186,1562.712921769049,1164.2359370303684,1563.345972431558,1163.42138976725,1563.2064201637895,1163.3205180082605,1563.5520917739532,1163.3834204049604,1563.6835196807588,1163.000036233765,1563.6753018910501,1162.731529651979,1564.0843567524632,1162.3009265382184,1564.6371509891283,1162.3310686142736,1564.9150558022382,1161.615248513404,1565.7299513468881,1158.4467800438183,1566.3690300602716,1151.7672183016182,1567.1373105217783,1140.6090905678986,1567.5339393849542,1137.050589418443,1568.4092002311245,1133.1189107649213,1570.4920173837413,1127.5266946548734,1573.6011191553296,1124.1009784065136,1588.113121250148,1124.129076483293,,,1589.3801819626024,1123.757449084548,1589.3392211662324,1123.8351318611822,1589.2677516779745,1123.564696837195,1589.2488068856917,1123.6528050933869,1589.2382800258324,1123.6157793239472,1590.886731720112,1121.4603166874674,1591.281557488217,1120.366734620015,1591.3060879333939,1120.2553036037823,1591.4475049332116,1120.209775578212,1591.4982917595842,1120.1402011616158,1593.7229061228995,1119.0851184889223,1601.8106796270874,1117.8938262572167,1607.4708117486214,1116.3034708116995,1609.8496529455565,1115.6948236950745,1613.5408117457557,1114.9135748479835,1618.3210071919998,1113.8041462131118,1624.1236529892838,1112.6623853620513,1633.0374677590899,1111.0710413455142,1642.4291624764903,1109.7756926673298,1651.2266764587698,1107.886073422124,1659.2206436060446,1106.8005932271697,1667.788890501626,1105.739400003213,1677.4144742380975,1105.2251706749296,1684.8797083902552,1105.7131269756737,1690.2035565699991,1105.959111330757,1699.2558510172132,1109.0802582300469,1704.4261756832498,1111.4196320492902,1707.6747023797368,1112.407456403476,1709.7427892563262,1111.8663779269934,1712.287157329961,1110.2436702199007,1715.0424280029654,1107.810571945894,1718.4799388547315,1105.0931367188782,1721.1314371782428,1102.7813450742688,1723.1846729859617,1100.5593195553608,1724.4305579591264,1099.0372817411228,1726.3399180530987,1096.954248472811,1731.4921446934516,1091.6736900111239,1733.5869703538456,1089.1674335920654,1736.5209754503603,1085.5386581341152,1739.1645145869911,1082.2992341112345,1741.0690866682419,1079.8834453270563,,,,,,,,,,,,,,,1748.1606157921449,1073.0203232267709,1749.7853741406811,1070.9277069956963,1752.4033429435742,1067.6492373003696,1754.8447472034,1065.0524387516953,1756.0196553672301,1063.740874056837,1756.5433521043,1063.2625985815102,1760.3854939051585,1059.3691849016727,1770.607389990887,1055.8165862626333,1790.0643817893492,1051.887450892782,1799.8526390998436,1050.9578754350518,1816.1099591671868,1050.110562032286,1824.8118013668607,1048.9302152304572
4,,,,,,,,,,,,,,,783.2225958294832,1012.8202232324767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725.5080678574282,1031.0254371183332,704.8288566982563,1037.658835388429,687.7586825905896,1044.917490552248,667.0313531255949,1055.8715163788843,588.9800703600563,1106.7485513313884,529.206244591519,1222.6602665205278,603.8344482622896,1356.9863516927508,794.8622729963922,1509.9627113667555,907.1125149898314,1665.5744197373233,1010.9473803376354,1850.9549743459095,1204.743145325419,1846.1212176654558,1356.9534116797122,1753.214695390192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1559.1354520353784,1231.2728570644363,1558.296954636434,1206.7862358077564,1555.5991106215813,1214.9939373116724,1558.2874158226005,1217.9453226408982,1566.8218706900332,1224.0212966271795,1568.8307038788755,1214.591887570925,1569.783328770143,1208.7271549293603,1572.3575542089045,1218.1453967336288,1569.3417911179713,1245.5294079549296,,,1561.3548392170483,1265.124506722244,1556.1603423507806,1271.7530402457182,1561.2581814245011,1269.1545164225704,1573.86870247032,1257.673532752578,1586.9840969416348,1241.4348406729725,1580.10127247146,1251.3731701065722,1583.035033942877,1246.7730172380252,1579.9737455621912,1248.3878126564346,1589.7294446070077,1237.1076579552391,1586.9459108947563,1239.746332198029,1571.654599657733,1253.0391107566743
5,,,,,,,,,,,,,,,976.1939238211891,896.5295478125715,934.1405948114449,912.7185614806203,934.2122822998821,912.7183805789034,929.5048516282219,914.2107296499012,902.6519934540734,907.8827550347453,865.8153070855134,917.3201945315216,862.5658752092075,914.9750433918606,789.7608451429121,909.9084288223642,722.5109307212056,924.3924344965627,720.3923716290776,922.5611123673389,,,,,,,,,693.2795461609315,937.8564717136911,690.1153829881374,936.8931444163734,687.1774084064601,935.7713138932908,683.5384617805083,934.9648606476599,679.2248488336008,934.1016081247756,674.2836928175523,932.2930269106814,667.851271780443,929.5867975525263,661.1902464781001,927.4383377548523,656.8869114635199,926.8063135061523,651.279955429731,925.9795788835496,644.4470138674191,925.0338485010253,642.1853994385685,925.0857275419568,639.6309837748217,923.90560807843,639.0214735810977,924.1611391314727,632.7034930269701,921.6896141789272,630.2891369958814,920.4920875424482,625.6637698640658,919.0034105699145,615.2282476874913,919.1793567806188,591.9175981021718,924.8885806952165,590.2407037371261,924.0870875647455,578.7348373719125,924.9113793474233,573.7685206246766,923.051687369727,569.7081991516934,921.3751728892106,,,561.5696184914317,921.8381015230334,561.498418718767,921.6886170467915,474.0754319892692,943.5763108145532,376.94598151860896,1102.1097520717556,376.8724187397895,1102.135122154112,442.57121836621695,1207.9330581529032,442.3784151309248,1207.8001134557114,493.11370181274447,1246.063325290493,493.05869880742165,1245.9200674390822,487.55092640882873,1265.1441646071614,483.7523962755962,1282.6493928509951,483.4161832007765,1283.931987495238,482.4508294663906,1296.6931727868384,492.0975073218562,1317.7459498519179,546.6662331775625,1381.4651520085151,671.9390578155059,1397.1414939913886,671.9843414407256,1397.2259164491336,674.8142378456556,1397.8579838737655,679.4674500291978,1396.9201419025042,679.9311592091132,1398.4783194289387,680.5881401723765,1399.5646592025728,681.142682995421,1400.522467592265,681.3931580689793,1400.5192215024574,681.330837551038,1400.7028549355935,718.466874496013,1379.6104121701924,723.0269499285916,1376.7291516074258,,,,,,,,,,,,,,,,,,,,,,,383.2820939438212,1249.24458671235,,,,,,,,,442.0096238365255,1435.1306789416103,449.7678263116512,1440.7427647970005,449.77100304125554,1440.761602469357,449.5985214096062,1440.8125760583657,449.64579215557575,1440.9972872146795,449.6390611222829,1440.692522600639,450.745489567076,1441.6251767976278,450.73130952352176,1441.7070330562894,451.8711292419383,1444.0151242456907
8,,,,,,,,,,,,,,,1258.0187723533206,1347.819448417487,1279.228006747264,1406.5768139575896,,,1342.0335312349507,1509.527185070429,1381.9683835361307,1574.7130046609557,1429.1811090956437,1599.8697372498934,1466.2619829789414,1646.4745960236112,1517.167915203358,1714.574678538566,1597.7514973173236,1800.1373561938356,1671.6872911043188,1870.8080901439364,1711.3379806727578,1921.4462948415091,1751.9699446883421,1973.1679461061701,1828.2421341257002,2077.177470740896,1863.7353439290703,2122.929839420932,1913.4612200596287,2177.075378879599,1996.177468097892,2250.795471677357,2036.0594620102295,2297.855292755601,2078.1981896540933,2331.3081986757193,2131.35638764952,2365.2581343454744,2208.3998170884875,2409.626134277844,2247.732768700136,2437.030684552932,,,2261.7265806203955,2442.512674052099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,1012.5731055678916,1043.9907031310463,1012.4704007570298,1044.5196608009132,1012.4328030255116,1044.6884188605868,1012.7191198653494,1044.6687501989036,1013.3234763501129,1044.326178657655,1015.0734018840034,1043.8325742601216,1014.6102566051212,1043.091639320566,1014.5514775043248,1043.0016582133135,1014.7192691461423,1042.8685040293312,1015.1544831028651,1042.4817813946188,1015.6458091327335,1042.1012008026516,1015.9910396434487,1042.0289330971157,1017.2716455260719,1039.7447342578155,1017.6028040782044,1038.4210317763948,1019.8786872933345,1032.957483549744,1020.1530857193046,1023.0529690280803,1021.8093692069685,1012.3304047268472,1021.4754700043812,1002.5942757719995,1021.2869500525463,999.4588340645666,1021.7335094571208,999.0978206589859,1022.9696870442403,998.8634266975686,1023.305941500632,998.7898369779255,,,,,1023.5952296803397,998.5644974993085,1023.605455804466,998.51710256883,1023.4374310390575,998.4933715318855,1023.5684526475361,998.5415215347433,1023.7018494645931,997.5971699075462,1024.4711914702198,993.0437864534434,1024.991720763911,989.8705926643457,1025.0853366438826,988.2566916658511,1027.2005506842304,983.9945226944031,1032.3181807044248,973.5294157649006,1039.3762744158232,965.237559100489,1039.775200180384,964.7989135187294,1040.1338265500715,964.2442590561491,1041.173361657394,963.4707919853547,1041.0780685229645,963.5201252447845,1041.068201026988,963.5899642647773,1041.111106997139,963.5691027223583,1041.1561789522702,963.4538955530813,1041.1177127494773,963.5472634775498,1041.2261769982051,963.5479234493089,1041.0956909142765,963.4843001281389,1041.0784252111066,963.5209037440093,1041.0912388002898,963.4280341850857,1040.9506532263777,963.5047633151347,1041.0620920423007,963.3326353030773,1041.0834496479206,963.5289327368944,1041.2440969480997,963.4830488961203,1041.2327588004343,963.5151231423948,1041.21894128847,963.5465971507178,1041.132288284055,963.4322732951296,1041.127414785844,963.5122802283345,1041.1974939652346,963.5176988905048,1040.924266465595,963.6491349261287,1041.1037752122415,963.452488310768,1041.1728857855423,963.3655715488669,1041.2214788749322,963.3614351639442,1041.1548935829228,963.2864850873414,1041.2360264242861,963.4350323822385,1041.1282178667986,963.4630808175325,1041.1267381146074,963.4402181197307,1040.916513816478,963.450138261404,1041.135994466698,963.5099916779916,1041.1369211875642,963.5003561001596,1041.0469673720265,963.4114923698937,1040.918301136968,963.3856303494657,1041.001690170729,963.6059890520079,1041.0750315480018,963.5309970704694,1041.2195188443245,963.491921507837,1041.21261085312,963.4263030182395,1040.9619035716394,963.597915116086,1041.0740482117355,963.5657007071183,1041.1525768343124,963.5194760619598,1041.196273132643,963.3978195945009,1041.1638876220165,963.4881987855011,1041.243196573588,963.6195314131649,1041.1848771369948,963.5350053081695,1041.0691402435534,963.5928998532814,1041.0968207312453,963.4004559594645,1041.0900616059669,963.558425283769,1041.1876227063901,963.4376606000945,1041.137087534633,963.5472164457859,1041.0590090832243,963.5295772484823,1041.1462892246686,963.473225947124,1041.1175161898616,963.4337108766302,1040.9363536615376,963.5170950199573
19,,,,,,,,,,,,,,,1108.4805013427947,1254.9539252619077,1109.6842857227068,1254.5320162105938,1154.6890147300085,1262.8948596840726,1157.144224944971,1263.397226022693,1160.805021435149,1263.740480023662,1165.8053730643005,1263.409513441582,1172.2146425456729,1265.8123946186142,1177.4247160973725,1270.1500753412467,1185.2242335227397,1275.527162784123,1190.5712753665186,1280.1564808116068,1196.2931276189124,1288.8281917747113,1202.4418081146443,1297.174587585642,1207.272609652057,1299.5933638225597,1210.1766643398007,1299.7365285591443,1214.1457565719709,1300.6229630017062,1217.8057729952054,1301.0702929503584,1221.3372632013557,1301.9552457188793,1225.6515739044037,1302.6570634218224,1227.9115994325603,1303.9838467226446,1231.5303762115784,1305.5057635141545,1234.6916636056565,1307.4208230145455,1237.3539807812049,1309.4248507916425,1240.1592073382553,1311.694500630581,1242.553331407578,1313.6166137869095,1244.3610288682619,1314.8576207251892,1249.6571770840155,1317.3569577840633,1289.5777695880581,1336.2305370432164,1291.6989326848106,1337.6213381584646,1292.0015143880355,1337.5817276267715,1292.525156336617,1337.6268983901668,1292.6450022644003,1337.816244195795,1292.7180885621992,1337.8472874397085,1292.983548829891,1337.7945710563283,1292.9676326870454,1337.7854117682907,1296.5420313953814,1339.4005518263193,1296.775928060737,1339.6090634523023,1296.9746541467389,1339.801465832482,1297.2297467311002,1340.2058197894019,1297.8977985597028,1340.7691800125417,1298.7604227333409,1342.2148164167545,1300.1837530849677,1344.1471963863341,1300.9435552767657,1344.9237816696323,1301.4976219809898,1345.478098538835,1302.067088324215,1346.0555754384345,1302.7697857144174,1346.7710139926635,1303.370324362614,1347.813008063068,1304.065252646418,1347.411198017075,1306.0732154733964,1343.8624397283972,1307.6788262255275,1340.3253726176542,1311.641390806649,1335.605695932348,1313.424255597202,1332.1877532466137,1317.4949261357465,1326.776066465915,1319.954278581065,1322.3924248393514,1322.651026014079,1317.287253531833,1325.8515390730786,1312.5907330133496,1330.503452910373,1305.1001869193897,1334.5865634371141,1297.176765257276,1337.9625538386151,1289.7194769015864,1339.5624078876297,1284.400659261836,1342.5480804927654,1276.722286240792,1345.391223096425,1270.4765687962995,1384.7518517432866,1255.0338340922983,1389.5592989359516,1240.9961563889133,1392.2176486011845,1233.8992334417517,1392.680467412643,1230.2909642536024,1394.9238291559302,1225.5378106190708,1396.2162224262224,1218.4178502983364,1397.315382927562,1215.7780225502404,1398.0184500244773,1215.152824315507,1397.8382870798216,1216.5561638846389,1397.494461463104,1217.2048281861037,1399.9478284509912,1213.1936415231876,1409.1425363438084,1211.6543375556387,1411.2737940717032,1203.931682791339,1412.3700207222291,1199.3502829355916,1415.6784276487183,1196.0676477969278,1421.7973450350833,1190.6256207221306,1427.6990067710922,1183.1508200867893,1434.4383422329845,1176.8763136448981,1443.4976155872675,1167.803083592643,1454.6575372113073,1160.772933444806,1458.796042516231,1157.0931957973473,1458.4444380165944,1155.9636191935097,1460.4287583327227,1154.9238964920694,1461.0498999552617,1152.752531368404,1463.0874696968185,1149.1660377647477,1463.2006800149336,1148.6436498796056,1463.2290079400618,1147.433329142996,1463.7256727224765,1145.3417981026134
2,,,,,,,,,,,,,,,,,,,1728.2924079369589,1109.728460097261,1767.020690919073,1046.4708108380132,1840.6744806168256,1058.852705710552,1859.175689696716,1059.019646418865,1911.8072921605574,1077.104786452931,1929.977238448278,1099.2999947020837,1954.2224571289419,1132.7533434918614,1954.2108387601,1139.5456966035847,1948.4960265208654,1178.0863714265279,1912.7068356790292,1218.9996631825502,1900.8092153121436,1323.2612908394194,1878.9685769979983,1370.9130367490807,1875.367132680015,1373.7917929466123,1867.4303936348897,1377.9688165406947,1858.3076687971277,1380.3648304513197,1794.3420026318681,1394.7938366190638,1696.6115711645743,1385.9436582635549,1623.9318090161248,1328.7035305167597,1613.6798741400546,1305.2037609067947,1626.1810545861388,1295.2026560550748,1624.858951545179,1285.73720198637,,,,,,,1798.1370759671506,1070.5108955188437,1829.6163413111315,1039.88892499113,1859.262558713536,1029.3305269730658,1859.0410787115936,1029.5792845770106,1916.9739346681126,1001.6939975607118,1940.1168935129108,1008.9202046381649,2061.147704929456,1012.7222143122267,2198.4942106253284,1035.402729823227,2367.754510859704,1078.0004283874982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,2087.56418200639,802.894774341404,2268.6508444347674,811.4668528036225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,1185.3031656993167,1093.4891859440982,1184.3382805410401,1092.7915781697588,1183.6465191778873,1092.4624954456795,1179.380486430631,1090.6599763970974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1447.2296268215307,768.5333439565377,1454.4610023142932,767.400528465387,1454.498917038497,767.2770268059351,1460.5831102565633,767.0166713026258,1466.6487956070575,766.7714040388348,1477.5700412072986,767.3666511827087,1477.4797928354433,767.3164541953347,1477.4269077272947,767.2388947228267,1477.5238822768363,767.271729139028,1477.4331256285475,767.2844414612907,1477.6292285090374,767.2767721512141,1477.6696876294882,767.2511830366109,1477.5299492530833,767.0801400465134,1477.4952983671205,767.4372171694617,1477.4634479502938,767.2477577307237,1477.7312556072168,767.3139463857706,1477.326218450039,767.3457917242365,1477.4184377202498,767.2674037467573,1477.4239642592556,767.3047257092102,1477.58378166673,767.4146606365304,1477.5983840124698,767.374505780272,1477.5228363299977,767.2100669731394,1477.4421255804298,767.2874083301361,1477.4399241244687,767.3030063308986,1477.4663575444458,767.4570067242616,1477.5470551810847,767.4680110234765,1477.5933432633497,767.3776900318617,1477.6077053017216,767.3197110993038,1477.5715592668696,767.2674004686634,1477.6216069546924,767.3038395569481,1477.451110661405,767.5522089694043,1477.6495731833422,767.1734425989439,1477.4863183173363,767.2761223671157,1477.6541236353378,767.3370987784483,1477.6865534506712,767.3325727041669,1477.3956218518165,767.4041371906336,1477.754674705532,767.2776251642847,1477.3253074464126,767.266592512434,1477.4467154053868,767.2235618185953,1477.3817229297867,767.270732580654,1477.5679933706158,767.4500044881114,1477.4749823966117,767.2320939104662,1477.3656111430728,767.1919456165809,1477.3214582737658,767.3597167312953,1477.5053388874542,767.4248845627067,1477.3899410429192,767.408349223131,1477.4511981364617,767.2478737642836,1477.4392746852802,767.3858615269895,1477.5328462834725,767.3494417303893,1477.4363545033755,767.3938910937077,1477.3221542203542,767.3607155885167,1477.5503371505415,767.4502054192122,1477.632712298686,767.3759645751677,1477.4782132085845,767.4116335221156,1477.4542084206091,767.3528664372081,1477.7076208568064,767.1700555870727,1477.5201506415642,767.2568420840627,1477.7497669156076,767.313440428154,1477.584538905526,767.3422415112015
