,29,11,0,18,12,16,4,17,15,14,13,10,7,6,5,3,2,1,19,8,0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,17_x,17_y,18_x,18_y,19_x,19_y,20_x,20_y,21_x,21_y,22_x,22_y,23_x,23_y,24_x,24_y,25_x,25_y,26_x,26_y,27_x,27_y,28_x,28_y,29_x,29_y,30_x,30_y,31_x,31_y,32_x,32_y,33_x,33_y,34_x,34_y,35_x,35_y,36_x,36_y,37_x,37_y,38_x,38_y,39_x,39_y,40_x,40_y,41_x,41_y,42_x,42_y,43_x,43_y,44_x,44_y,45_x,45_y,46_x,46_y,47_x,47_y,48_x,48_y,49_x,49_y,50_x,50_y,51_x,51_y,52_x,52_y,53_x,53_y,54_x,54_y,55_x,55_y,56_x,56_y,57_x,57_y,58_x,58_y,59_x,59_y,60_x,60_y,61_x,61_y,62_x,62_y,63_x,63_y,64_x,64_y,65_x,65_y,66_x,66_y,67_x,67_y,68_x,68_y,69_x,69_y,70_x,70_y,71_x,71_y,72_x,72_y,73_x,73_y,74_x,74_y,75_x,75_y,76_x,76_y,77_x,77_y,78_x,78_y,79_x,79_y,80_x,80_y,81_x,81_y,82_x,82_y,83_x,83_y,84_x,84_y,85_x,85_y,86_x,86_y,87_x,87_y,88_x,88_y
8,,,,,,,,,,,,,,,,,,,,,1753.437124076605,1082.696004857723,,,,,,,,,,,,,,,,,,,,,1749.0354473197367,980.6235199373941,1752.0956309100852,979.915618585985,1777.3255604543508,974.949670870248,1772.1042649967585,951.2366336735065,1771.7790651139107,947.9879989421418,,,1777.6763677146307,923.6357427372302,1776.1853527021378,915.4255155880192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1756.2650667040723,794.0458465883348,1763.1952262309387,786.4914634545129,,,,,,,,,1732.3736038936781,777.8801780757915,1713.8734497274397,774.6338507587785,1711.422555801159,772.1155639110833,1702.6601569144682,765.3598009723391,1691.7837791733793,753.8929746784659,,,1673.5922799924356,733.1557362788654,1641.9084321111914,729.438145940484,1631.1613323173065,727.9269229727688,1629.4069556580955,727.3464448323264,1616.728022083223,724.9024603548996,1614.0715981046615,724.5557656719242,1598.3377622301084,721.2120176164818,1589.1055010124694,716.9073690790411,,,1574.5084657448124,715.0524056942867,1565.2775936702183,712.8525912111635,1565.17034789836,712.9783529941053,1565.2393011761453,713.0269025423405,1565.1684854039845,712.8513803511025,1565.0522409053017,712.8609834712543,1565.244272891361,713.0205726464686,1559.2535995816836,711.1690424310598,1553.269771180621,708.6152741010961,,,,,1542.8092921377302,708.379560683774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1384.2807054391321,709.7297085497167,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,1822.706938737059,1530.9856050075252,1977.8760175345328,1497.317088351834,2011.8831869558737,1497.3854505467054,2116.9924547017395,1516.937729051951,2141.531478247453,1528.535446669224,2153.184188488522,1530.0748390014933,2155.4478522147165,1530.0075433905588,2156.6038297084247,1530.064904277521,2156.9076822910024,1530.2860886818196,2236.796317602755,1574.100531668815,2311.7982656337567,1627.6990881888817,2403.3421948012415,1759.3760472187062,2403.1257152120093,1759.3803975224635,2405.916668938663,1763.4853447710998,2414.7231924979355,1794.3067055870083,2414.6291169176334,1794.2873383592812,2415.82233687065,1795.4794162164715,2421.220446420027,1806.771331634987,2420.6284196094384,1807.4075945910704,2420.8621372294087,1807.2425892839517,2420.928165895446,1807.364801167651,2421.011783354413,1807.5235884751414,2420.9978220484136,1807.5782112008749,2421.527082101823,1809.0139456353681,2421.878454568551,1809.3206928465052,2428.1389115167985,1823.3123520776785,2428.329277310406,1823.6333695241785,2433.1286704759123,1832.244107277316,2438.43123117847,1845.259627182553,2447.3684498043303,1872.0601620404839,2452.8538625181086,1902.3754543820198,2452.5091090326237,1902.2359490377728,2452.453616020931,1902.3774193237741,2452.44428239912,1902.1291340978096,2452.443126345164,1902.3558423712525,2454.345526496082,1908.1888367868899,2454.518760416402,1908.0252230985232,2454.5256977506892,1908.9682228499598,2455.6687038943533,1912.2311441909126,2455.763223495029,1912.3030259222865,2455.795640327543,1912.3543496969978,2455.6896194154397,1912.4095215791601,2455.7375370447057,1912.2269110193965,2455.9294798317546,1912.4074953036206,2455.8513636289813,1912.3128520401417,2456.850864952601,1916.3215326453246,2457.454579306121,1917.4618245641668,2457.9822261017603,1928.5041169889068,2458.6012287314293,1943.630263010894,2458.9441457624057,1960.1012470938413,2458.481236483681,1975.9715610046717,2458.089672777978,1982.5014488421152,2457.471961858872,1994.0255687020933,2456.5063559976934,2005.3530938649667,2455.9982098015744,2013.4439083632965,2456.0359631358024,2013.4680620816239,2455.9420937620444,2019.9330430653001,2455.740284173757,2027.1416174720903,2455.122300072696,2034.8537927470752,2455.2265305697597,2037.586255019511,2455.326849105887,2037.6552218757852,2455.4467475032798,2040.5479927523347,2454.4367454553253,2051.250881436859,2454.0372835066246,2053.2816357323436,2454.173716315332,2058.1810945749066,2454.1319754884007,2058.2757930335342,2454.2908406060424,2058.4414340898966,2454.145448936539,2058.145177263109,2454.217449968054,2058.1825120873204,2454.111083397251,2058.1707194761807,2454.206178398229,2059.561495468569,2454.076152128508,2059.46328198777,2454.1874190205617,2059.6157531736358,2454.331571324829,2059.5303040934896,2454.3059070395684,2059.6318656668595,2453.909163143362,2061.890923857786,2453.8881714547388,2061.8466024590703,2453.9651196142404,2061.9428829581007,2453.869224647709,2061.895123581086,2453.999087725259,2061.8419008172714,2449.7533869334347,2085.6174364776675,2449.6669926764603,2085.6324166987692,2449.5898775114906,2088.622480952634,2449.440589914735,2090.2371666673075,2442.2688015251438,2117.214455200851,2442.2947335747194,2117.147810104155,2442.4490852839645,2117.183193373646,2442.3319259052128,2117.235647101829,2442.364397338605,2117.154395459046
1,,,,,,,,,,,,,,,,,,,,,1419.1369343852487,1647.4500973776953,1310.3809701326068,1754.6870973332727,1309.3180693615625,1902.3339674444662,1177.5093721403102,1960.5884408667446,966.3273311769333,1964.9705682431977,751.8290200068345,1987.9585253192513,521.101428308668,2154.8465052047854,365.66541243565547,2317.665527695198,,,,,297.0930241247949,2622.851204485257,297.54532687229215,2621.1495782680745,297.4167187064406,2621.116200815832,297.40591199917725,2621.1527864585646,297.30023069157994,2621.119065894239,296.9973898936398,2621.5224034494468,297.0085475246506,2621.400058802475,297.27528263556655,2621.393069884971,296.9604584351737,2621.6091542571726,297.12212832828135,2621.433217288401,297.1537914675549,2621.331608674792,297.20697343173356,2621.2907419281414,297.26630869272844,2621.269996506745,297.238582348918,2621.303908058002,297.29394930272315,2621.2807367277296,297.2313904029488,2621.24360298347,297.29669471511295,2621.1904724312726,297.23884595020087,2621.1861538931735,297.2289028805913,2621.1912047401456,297.2802117612306,2621.1935590927565,297.11353360479535,2621.304852925652,297.1966095151773,2621.278385347495,297.1064952347182,2621.329290411165,297.17380851938333,2621.2637118179337,297.2096628247513,2621.4172195092765,297.08007927075454,2621.2906400338466,297.18648069520344,2621.318195248366,297.203882163018,2621.39257637241,297.169531266155,2621.3488369116812,297.21110341290665,2621.346264885401,297.17553572130504,2621.410458224481,297.24612370321853,2621.306059074013,297.19777991653655,2621.3987100915074,297.15176314888754,2621.334504857978,297.17754997358065,2621.29783087288,297.1831303095713,2621.2977418116498,297.2304344368244,2621.3632207549836,297.24226189747714,2621.391176665748,297.2522836028077,2621.254620021208,297.2736171576803,2621.263857781352,297.2870566866262,2621.245343248965,297.26242652406916,2621.1772938398567,297.38763541319787,2620.9869167596976,297.26995238650085,2621.0625607433194,297.29107278089987,2621.0784286816643,297.27516632307163,2621.0784230732856,297.3390563222019,2621.0535918790315,297.38119051405823,2621.1031586964023,297.2711934616751,2621.1247419273077,297.2658866896078,2621.2589259146503,297.282331321853,2621.2450936531427,297.23677883904486,2621.2017879783557,297.23673772493675,2621.2512457803596,297.319445015149,2621.173668599284,297.2879617414064,2621.1969318835777,297.32119945500745,2621.1586295772345,297.23828271902704,2621.249782827333,297.27221327399656,2621.2753650420386,297.2992389434256,2621.219782006004,297.2830658272694,2621.2828447078405,297.2331780538494,2621.210253995924,297.22266572207644,2621.252321305639,297.27424556976644,2621.1929524936554,297.21046873538677,2621.2980043449734,297.29666859237346,2621.191573423247,297.2634323163137,2621.256516701677,297.32005449378784,2621.156031515717,297.27800506302117,2621.1809141547337,297.24082279151685,2621.2255505000385,297.3325774536843,2621.260845733741,297.25246144080285,2621.1743793856795,297.2196272555923,2621.2831483259533,297.2872089193628,2621.2013331501485,297.26127729554673,2621.161052138844,297.23450910550446,2621.2551281819988,297.2778027703316,2621.1725838983284,297.2918896710592,2621.1642696767367,297.2721869539526,2621.1304099065474,297.3496976572098,2621.187546671839
2,,,,,,,,,,,,,,,,,,,,,1346.3776073855033,1150.749419771524,1416.6659890895667,1125.3036242703981,1420.6825773328849,1129.0059979319888,,,,,1454.374038791069,1124.7168413552838,1466.8848488104036,1126.9318918105398,1485.08103698981,1134.068297977033,1501.9085634939804,1136.8665073896752,1516.2611077080942,1140.4523119893483,1524.0341528850763,1141.5407953202437,,,,,,,,,,,,,,,,,,,,,,,,,,,1643.4001331728016,1198.193238116084,1636.1297578292406,1218.4339876537276,,,,,1649.612781264385,1236.0999693654687,1651.2652245221996,1234.3618770654025,1642.4707753278685,1236.0142844423794,1643.9117628212784,1234.0723651201868,1642.8837585161384,1235.4084496152354,1649.7211336262753,1240.301986653489,1655.9502426640174,1257.637797629934,1669.8319318469294,1335.8928564826547,1712.4396525677657,1507.5906401529448,,,1556.7651835768804,1635.996892723864,,,,,1386.5781004350602,1809.630302688628,1302.8801713210873,1853.9938274329786,1264.0065281316104,1931.9654285777644,1167.7340887055598,1982.6666289406467,970.4267739542022,2028.8793433261762,763.4139649254344,2118.850498429367,742.6751711800645,2117.7460627532746,741.7567536209135,2118.0994599724345,725.2646623537655,2121.6574673657624,634.8679678041095,2180.262808053197,616.6054849917807,2194.260902963847,469.79458715323705,2168.7917974287275,304.3977602909404,2072.298773728982,223.35489886693597,2065.833843591144,144.05820190806315,2067.053109387152,142.02194402144957,2067.094951640003,99.79898737943155,2071.9659115452932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,1255.4991005698105,1572.8702546582444,,,1509.6584342175752,1448.5572036417195,1592.5203425912764,1416.5068137044955,1678.1478379392695,1466.998637650075,1778.9657662597635,1398.1547926317885,1840.508297153876,1272.1642955473055,1862.3786053305757,1137.807983529312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1818.506649859487,461.5325192429378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1776.0070922151233,426.01430640025154,,,1775.8032946296064,425.6743318644801,,,,,,,1753.6645597871488,404.23654647276123,1742.0308344935152,403.0490727107453,,,,,,,1742.3099682784691,402.85252821909245,1734.4054467355309,397.59950614216126,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,967.1566712397532,1392.5017439670091,958.824023441831,1391.4566037338554,944.5164571345956,1388.4887725601654,944.5451916434171,1388.552754824647,836.6935125669827,1418.4527591462736,836.697248003075,1418.4120205791723,836.6543710014932,1418.4755248491567,836.7526481134761,1418.4185443866754,832.6242280505938,1421.0555412223578,805.675101763219,1446.5603139182824,755.2821561422493,1522.1311971574503,743.9932532611912,1647.5887565631133,743.8470335207677,1647.7366769315981,762.3285028575432,1703.1614564619524,766.4528032823257,1712.403954754276,890.285695437007,1803.5676338236622,901.6637023697174,1804.9033842228505,921.3098119899809,1805.135656981008,989.4126021401158,1803.9474101361498,1001.3469268940058,1802.7510403792087,1001.9325492001169,1802.6719806733947,1001.9670951464494,1802.5320308484925,1001.8921982440024,1802.5991150458055,1001.9210208067963,1802.6605144478697,1001.8982501815021,1802.5064283669706,1009.8290241263568,1800.6495513367825,1009.6213532843377,1800.5459373532965,1016.4300536748623,1798.6607251106445,1033.596162210172,1794.0848071043854,1033.6272304735369,1794.080587622529,1033.570943359907,1794.0315302582076,1033.693400279442,1794.07981433718,1033.6977804943258,1793.9605837080471,1033.6840282730507,1794.009093904608,1042.7207294774753,1790.2348442941775,1042.6107182826784,1790.0935308772164,1084.3978803879058,1755.2286229259387,1104.9957087546102,1723.8072732198557,1105.0544052216153,1723.6121161787366,1111.9003835735032,1705.4485972490227,1111.9924160195158,1703.8718944313803,1115.4066253887163,1655.572993274534,1114.0113888630272,1641.474693628767,1113.5819949504098,1640.8836430427443,1114.7758568373113,1623.8518948897686,1114.8627741440346,1623.768403340139,1111.161277646916,1601.166622784036,1110.931217005169,1592.3819832617892,1108.22778985146,1569.2018169003377,1108.368069466051,1564.2488961487632,1101.6266449611348,1516.2523754746642,1101.4919047828391,1516.128348580329,1087.9572642306975,1458.3894018920637,1090.1815640764871,1457.5902079862758,1091.4666843951006,1457.2095024511714,1091.0505626894378,1454.5551305833571,1086.805568360021,1447.9409191701116,1086.5888869055636,1447.909845367306,1062.3891065111468,1413.2969957188568,1062.4410256608803,1413.313078150497,1013.8202924930231,1372.130583126863,982.33046265098,1361.1723513135519,778.9109235321107,1420.0707547589832,778.8866608698958,1420.0564058009058,746.8834250709892,1434.0496182658676,714.8407555581175,1438.4401830673592,714.6941625423316,1438.4047134809418,605.0389366373614,1543.4746193814738,604.8976386696196,1543.4964360371353,583.6904442660381,1620.0527830329202,581.2299977561564,1629.5797854744253,616.9857763227863,1807.4852827502627,624.2681001918476,1818.2278270399352,699.7827290086668,1860.2074606734723,699.7056569625839,1860.209964772791,712.5222055583089,1862.6253024919172,728.452674702185,1863.826060346361,728.511827246915,1863.871069032745,738.2297153242431,1863.880827922102,749.5921995474359,1862.9443179786224,749.8241769043049,1862.7938838033579,768.7411702822938,1858.5326325076353,772.1085110885773,1858.658712823832,841.9941446664169,1846.3664091826033,842.1488171478028,1846.445908594887,890.2148145239603,1827.5070699055034,904.2170996025674,1822.131633682507,1005.3397615767002,1721.4252464074277,1005.253913757833,1721.291494354961
6,,,,,,,,,,,,,,,,,,,,,1527.0071636414195,1779.9379876293267,1496.5189900105845,1696.0686885965472,,,1320.3614353918786,1579.7712513689594,1224.0535111430656,1650.0339389345233,985.9134325522341,1706.2154472581221,882.8522615543653,1768.9595478366916,843.508659478511,1929.6490732078569,888.8519828425984,2098.3877953858055,1005.8063622998257,2097.8700504708313,1146.1385973643805,2117.5972564348262,1146.143825827595,2117.698436022867,1292.8452421450222,2028.5367009414188,1315.2375196369399,1922.5969731080365,1323.098228432633,1724.7837079541232,1376.9748906386685,1562.1664204312888,1317.3245181408017,1489.92397167227,,,,,1306.578943237301,1064.3204161208378,1322.3836186752515,1047.680708535396,,,1410.3081252183356,930.7195076227924,1435.441950234356,864.9870163740967,,,1449.0841987530039,844.5846450832344,1449.3365136064663,844.0386271075698,1470.1760309649503,830.2083603393913,,,,,,,1606.9678931486578,734.876375630188,1615.7485433905117,726.0474936032965,1637.898551297481,699.600496074574,1638.145225718319,699.4137428458133,,,,,,,,,,,1503.376919334394,364.8203355974547,1489.348549688256,360.91623571753433,1420.300126915664,335.1234260191109,,,1402.0086576816718,325.706116009062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,1147.83075968748,969.0583133622398,1160.755339703149,939.0333147388164,1177.5682516044483,912.8341712779235,1180.3838453320188,905.2432910768713,1192.6346068212958,885.7673000995578,1174.4322603542585,872.2231472307006,,,1181.4442855250234,848.8413439827367,,,1179.1876458314714,847.7078510551514,1183.1999876673237,839.9736569053005,1181.998348680937,840.729258127253,,,,,,,,,,,,,,,1249.4314953651135,803.003081163801,1252.1919276916499,804.7820898914732,,,1246.229439725002,817.3743863695058,,,,,,,,,,,,,1162.1024552456379,873.5413542482277,1157.5405856206355,878.6763588378193,,,1106.5783001729503,940.6695790866314,,,1033.3763537208076,958.866478280253,1013.5378515904752,952.0438914720322,971.7616582684344,931.3987223235523,943.1688184602804,920.0722757336436,899.9850741416087,933.3657083176171,839.7742930717819,953.7613868254182,803.1166318014305,959.0838883281758,779.5347993295769,966.9284865243189,731.0086105740023,981.0886398589122,712.7201738924216,996.5173981657931,705.4467535484841,1009.7757414682146,699.8888644048047,1033.287957619096,687.9944886995476,1062.1941718388014,685.6650254084688,1096.5677000321612,681.1793186530207,1130.942098868689,701.1521954827388,1169.6211663605302,718.9472912734517,1198.7135211649581,737.4063349897615,1223.4376600802739,749.6376122817774,1239.3707342219095,743.4887036580973,1248.9721166073762,722.7502450198292,1246.2141474919404,742.8751972365567,1224.745175952406,753.6182247420228,1220.6735476366591,755.1253797068329,1221.013606314815,783.2296283782629,1228.7050790609358,775.238828783028,1232.1236025186683,738.4284872295075,1280.5248669861053,652.1947585148183,1270.0006108949174,528.0924932586953,1277.1323587091235,,,,,,,423.81206978640466,869.2253204006207,630.2082099085128,883.4509944199544,,,881.5527476688327,888.709404441448,933.6752487303487,1022.897865077468,847.6729419306954,1129.8025241938003,726.37977673831,1150.575157855776,598.4559573833789,1142.9451599702131,,,,,,,,,,,,,,,,,511.1258557418601,877.7825897018259,,,,,883.0757509005962,727.8712600494779,900.1361541261185,700.1870272562142,915.6252093853248,689.0739851525026,947.4222750329451,683.8121163752263
10,,,,,,,,,,,,,,,,,,,,,1853.1925344710428,1276.838109884818,1869.1863016038662,1277.0843683617795,1912.6711877096482,1286.6103873368277,1956.3787973685742,1296.2583388332316,,,,,,,,,,,1938.4717622707674,1448.4771758157758,1937.1386994674683,1448.8483925789933,1936.2671417882507,1449.1979935941158,1924.7938136834487,1452.8005738390918,1888.7130869345121,1454.0371623755639,1874.7093162873357,1453.73000523311,1873.80775443195,1453.8108951084862,1837.6791913929155,1452.9692114832994,1778.7230922811425,1443.1620196963204,1778.1580889130446,1451.3173086892834,1780.2428722131233,1452.9763168512852,1785.361698716426,1455.7950627866478,1793.403681619557,1458.2384521937079,1796.7076757390419,1463.9314034770362,1801.1172177239068,1461.7789211934698,1812.5701729311177,1459.2904393216336,1864.880639040085,1442.8640626570445,1889.2727934910063,1436.0355705040429,1961.075462014617,1390.1270574859805,1991.6318222570178,1345.0999390762263,1992.784699665647,1344.1982636016273,2001.1003722005182,1288.4964816208906,2006.0890007863943,1276.1327788387066,,,,,,,,,,,,,2125.5313028576234,1199.82497849147,2164.268628608863,1175.40158038538,2201.71343188768,1139.2082886282176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240.9121439565524,1088.2808946302678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241.0967625398744,1088.3292712749349,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,1647.0217476756618,1470.5252192710473,1695.583989533993,1533.7499905452041,1741.18550209877,1653.3273638798462,1903.040306131329,1709.693258286819,2041.3952723292728,1765.751610331354,2195.3889023723827,1815.852264659866,2391.2534657315587,1837.2972751548157,2513.3143117259287,1841.6038028017135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
