,3,13,12,6,10,17,1,19,18,16,15,11,7,5,4,2,0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,17_x,17_y,18_x,18_y,19_x,19_y,20_x,20_y,21_x,21_y,22_x,22_y,23_x,23_y,24_x,24_y,25_x,25_y,26_x,26_y,27_x,27_y,28_x,28_y,29_x,29_y,30_x,30_y,31_x,31_y,32_x,32_y,33_x,33_y,34_x,34_y,35_x,35_y,36_x,36_y,37_x,37_y,38_x,38_y,39_x,39_y,40_x,40_y,41_x,41_y,42_x,42_y,43_x,43_y,44_x,44_y,45_x,45_y,46_x,46_y,47_x,47_y,48_x,48_y,49_x,49_y,50_x,50_y,51_x,51_y,52_x,52_y,53_x,53_y,54_x,54_y,55_x,55_y,56_x,56_y,57_x,57_y,58_x,58_y,59_x,59_y,60_x,60_y,61_x,61_y,62_x,62_y,63_x,63_y,64_x,64_y,65_x,65_y,66_x,66_y,67_x,67_y,68_x,68_y,69_x,69_y,70_x,70_y,71_x,71_y,72_x,72_y,73_x,73_y,74_x,74_y,75_x,75_y,76_x,76_y,77_x,77_y,78_x,78_y,79_x,79_y,80_x,80_y,81_x,81_y,82_x,82_y,83_x,83_y,84_x,84_y,85_x,85_y,86_x,86_y,87_x,87_y,88_x,88_y
2,,,,,,,,,,,,,,,,,1113.036367103783,1336.1346652870668,1173.9818785310083,1383.7404029017641,1261.8223999741042,1442.9281034944368,1380.8735216708112,1496.6332354545098,1540.4609958406193,1521.5854941337057,1602.4140990641781,1673.4400406326356,1670.8254880034096,1839.3891089868164,1741.4922574021753,2098.411730987803,1673.7790074222767,2246.460320388098,1493.4446576554526,2338.376260569673,1277.6284597398082,2349.736748073853,1104.724014994434,2262.535389685606,,,977.6963072588596,1886.1459095769608,979.3790973049413,1848.6309427130846,1058.4101224390542,1753.9542162922407,1047.5091218174093,1738.048621865836,1070.6028362583338,1747.3340724948373,1088.453739597142,1748.47486626595,1096.8274714580405,1742.9622967371572,1147.2059066129862,1712.3772577497746,1163.8978722362033,1670.0106828837986,1170.8952445630998,1645.5560752781225,1188.4984022706376,1638.7001240662717,1205.8747984053016,1631.4218143292762,1267.4403026635102,1632.7194248448782,1332.0786762794062,1633.0424517265012,1355.135064397731,1639.4533692782934,1375.8294079747232,1648.9877689466973,1380.9806524267656,1664.398548296486,1374.6996876855355,1683.8058925389353,1400.7592002892438,1688.0197677259355,1418.8801369742978,1704.452304337294,1425.385121878504,1738.097439181534,1432.196268774202,1755.5032279677037,1438.1833404241443,1781.2300728797584,1421.9135936055277,1798.9582413794976,1391.1902205803074,1825.5634064276687,1378.8849696941093,1841.7271020803369,1403.0696284811245,1845.7820349386482,1374.6249512451382,1869.969951861143,1395.7137218350426,1869.6396487473605,1380.6527371238678,1884.7713181158956,1392.4994608412246,1890.5274044381308,1422.89481699308,1893.9281347471347,1433.3627739122498,1900.2820656617653,1452.7348418480785,1908.5061328700172,1477.6599792314769,1918.0377295967833,1494.2920115258858,1928.2192444337563,1501.0799514187238,1943.7116043390083,1479.6497074103595,1960.9215160253784,1466.4812386416745,1979.769240313413,1484.7804507317348,1992.5789025750964,1497.2461437564516,2011.168944192631,1486.4603755247745,2032.0448610484436,1456.2147025369068,2074.558570310933,1466.0601045571782,2107.9162069014037,1496.6736146194407,2126.287918261335,1499.4555432735706,2139.8858052585942,1493.5237766285418,2161.8149170970664,1407.6971695926522,2203.420813339097,1305.3812110509186,2300.4146624743503,,,,,,,1331.815021144154,2665.5386659672795,1331.9723859300211,2666.6396944447183,1331.984296450014,2666.676172208591,1331.927378444534,2666.7134724705465,1332.0081190224416,2666.6110594508154,1331.9110689979543,2666.709222676671,1331.9786654529833,2666.6991627406705,1331.9011473078026,2666.6672633791336,1331.8956905448456,2666.719672938194,1331.9555508439219,2666.6713187025994,1331.9723288684513,2666.680263652309,1331.9161420216262,2666.6389380301066,1331.965846341792,2666.6552734157763,1331.9749951592587,2666.6692224362587,1331.9448303915328,2666.6813387143584,1331.9457559282325,2666.7199907547706,1331.9413678601009,2666.646054229533,1331.950846148918,2666.661741174673,1331.9591623128888,2666.666987767671,1331.987392258321,2666.6923213044615,1331.9256095630276,2666.6423208275105,1331.8830266908412,2666.706226305764,1331.9825593553826,2666.700535293196,1331.9997006361114,2666.676376891579
4,,,,,,,,,,,,,,,,,1233.0885189396918,957.2636621354844,1313.6580714776371,978.511417529643,1331.0527405045102,992.9721251773801,,,,,1377.9236017645583,998.4157724828952,1404.975631172933,1003.96857054114,1429.3293655194514,993.0506720526165,1467.4663536493579,954.678812624117,1483.0530798556051,943.52036589429,1538.1818845873847,905.6507532705438,1642.2222810533863,881.674759378648,1650.6027972039365,881.6658002023281,1681.755943925243,892.3103076926517,1685.9475307268567,893.0491439269975,1691.6642055977172,893.467405006441,1697.1388018772705,894.6000288613375,1749.8474094782912,917.3729260357019,1787.461588112503,944.3174794266937,1794.6671966578613,949.844573020232,1805.2824783997976,954.5553583816508,1825.7190936545007,959.1815704216757,1848.2656133758376,973.7095249247362,1876.7192423403612,1014.8432607019573,1942.589374242223,1052.8937210308175,2013.914466785629,1102.4171329792803,2025.4788632903494,1110.3241386765837,2210.5910675903624,1270.072846972008,2253.2340058982977,1423.0434646922997,2322.3671638117357,1575.5914234714896,2476.644405455389,1626.6462675014413,2487.2260656277003,1631.218731983593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,1070.9104338625339,1102.1363459249785,1068.0988568396108,1100.3989941960347,1068.51407025898,1100.7621698089515,1068.5115151879436,1102.4063521833993,993.0120774611489,1109.4746657900512,992.9154461091711,1109.2511436822617,978.519258402145,1100.4525582309668,977.9531647443483,1099.7114934041028,976.7986118942994,1098.8532782992193,971.6060948635309,1095.7687883047774,965.2794818633832,1093.469644347591,749.8839645415754,1154.6240925290256,679.1068230029298,1178.462028951683,589.4550992664899,1387.6932613475406,762.5229299951275,1533.0919550874605,828.6464728215308,1575.1061157998327,995.8913584711664,1573.9071887104644,996.4136591314733,1573.8743220713172,1034.0932482449314,1552.341857620239,1034.6170880132167,1552.514754094371,1140.8187210231704,1514.1479948629867,1257.7871231453207,1372.176367529763,1257.824925432598,1360.3568123201103,1206.8275118316983,1274.396248559743,1112.801870589263,1248.445066594326,1112.0377261318115,1248.2633447782919,983.273682086661,1389.9678282035338,1006.092264993122,1430.2284885259041,1028.0029361845823,1441.120577954023,1020.1346359797066,1478.4394667587278,1142.5979660052687,1605.9803439006764,1145.0954218524462,1609.332991375451,1247.4081069565157,1635.9026609699324,1288.1495178005866,1614.1292092881356,1292.7868462412964,1615.7434132051358,,,1493.4075852921146,1542.9636819509788,1500.9559689702978,1530.553797763394,1505.242281322792,1524.2244997230628,1507.1274094602695,1521.9596723436732,1508.803863665635,1518.6526195674942,1508.9163190346444,1518.3193151705084,1511.6522598638164,1515.4580954130208,1531.6746871510318,1476.5986901922224,1531.793729223634,1474.9307732289951,1533.3414251577256,1470.569817882673,1534.8127556298919,1465.4174514865,1535.1458188529762,1463.6888827788516,1537.7694700539712,1458.7666990383293,1541.4069241610412,1445.727464240041,1542.623983178936,1435.4810193095443,1523.9899572408228,1329.9376993232406,1501.276158155622,1265.7171030675413,1495.1818861391173,1260.1048193396066,1302.551699744971,1239.8140882273162,1266.6540767604968,1397.4436579561689,1394.0004251385203,1503.5518146542838,1538.01861829794,1430.925925894908,1537.9880446452357,1429.881376254596,1540.6321614542228,1425.834066603965,1561.8757267503433,1373.858574653801,1561.828618700149,1373.668592238728,1514.230496323704,1280.8258000232552,1512.1292637110066,1280.6638309306065,1379.4926580367774,1224.0182254892989,1291.3381576699935,1250.2707914381842,1278.111827111721,1260.5298570061213,1239.6567766817086,1318.070977223464,1233.786906384303,1378.2659942184714,1273.1230355856958,1484.4730623607775,1458.1501379000188,1503.149713697503,1479.2369017156734,1325.6965236971496,1297.0701463626262,1281.1221693479733,1250.2713948956937,1286.6066285156487,1250.1333202230198,1286.75068613938,1250.0186452307962,1286.5616511562182,1249.9834745558367,1286.6426917034935,1250.1608001904908,1286.6684744465913,1249.9184927350996,1286.5966886573508,1095.2923256866761,1437.047018452557,1127.0284851197912,1576.9184777764133,1129.6811171867569,1613.684178929353,1191.092600244904,1714.0790338654995,1283.311542540726,1751.7998961874068,1288.481025457767,1752.3979130463586,1288.6019909614797,1752.3191509570397,1293.5889698916776,1752.846639912492,1293.7070653103297,1752.871647971367,1424.3991064616976,1636.6003511060078
7,,,,,,,,,,,,,,,,,898.3605178697667,997.9508007169632,953.7771665888158,1009.6637612084924,985.6870112156287,985.3650934078688,1003.1413363736923,977.592165982548,1072.7681341159723,971.0582499828777,1072.6780727061175,970.9326523979033,,,1269.560909825714,1099.4310256808828,,,1400.4914761686362,1329.3088398121947,1392.7419977878849,1405.8374257696812,1384.4368304000816,1461.2220210821527,1357.3068863910012,1531.004384713419,1350.669127392941,1541.0772574414675,1342.0324599319893,1580.6758461433765,1343.9982014020702,1592.9351341222837,1356.252863966869,1634.6945421749392,1358.348757158285,1665.4397080160256,1371.2979717248356,1685.7358498062615,1342.2646760263758,1733.6391975901172,1304.931261705706,1785.3976431451736,1259.3432461745624,1810.8050396041253,1195.448963219554,1812.5753556262866,1131.2747760794934,1801.360528036272,1108.2546417330666,1778.353156962689,,,,,,,1131.4887920424258,1567.985141002453,1216.1432236297187,1478.4699651554831,1359.148746312585,1357.311719709834,1549.3799250973184,1320.869310009422,1733.0325503945162,1449.994158638807,1839.9838882821773,1511.8423615335716,2041.4075208747133,1605.031960327457,2179.417115253129,1748.3933160972747,2324.668517698866,1843.3693502641602,2373.0246328159524,1959.849934550276,2362.5876947698857,2085.8973411153097,2222.08403606455,2184.0156786934454,2057.340951489457,2193.342160715381,1960.9434865390901,2023.9648543141393,2085.99540443764,1817.972107615865,2238.4957667939884,1866.7222305381931,2241.0284319716698,2006.2378241340487,2259.6733249498493,2168.114014473969,2138.624798157822,2245.155948865869,2005.2939246083517,2256.9016944532545,1820.446605402288,2208.6361555020417,,,1677.7764429358983,1890.1952414077487,1757.695337927672,1765.9196666797786,1867.223331365531,1706.8435041949222,1986.1297608206223,1654.6444402182917,2232.8238904915643,1668.6706271413498,2165.993674704785,1849.821284123719,1983.2500382876092,1798.3133442364713,1923.6509395041328,1620.243335087083,2006.7777429716907,1498.1909531291706,,,2232.981040454714,1419.1035952942073,2386.2736361407888,1535.2821820814986,2485.2688406773427,1641.3449523942827,,,2487.4296751765046,1880.0094564130616,2487.1897724228693,1879.8869835372961,2430.6970138195366,1930.6015243994887,2403.937014146455,1947.985736305871,2403.791673639008,1948.0513283577627,2354.6663770263717,1997.3080678380948,2121.7081182416355,2019.5449482366919,2026.0649260443583,1948.3995404899142,1903.6900456388341,1811.375203012596,1910.688216762528,1653.963705037028,,,2178.504186473731,1466.1289387633703,2351.9560142371283,1533.5733975400847,2421.1312107960443,1694.918150708963,2315.0394030495277,1829.145219569304,2117.722638942204,1807.045764126198,1972.825566806864,1766.7841331133936,1866.1403132189537,1695.2965927163777,,,1997.9753959205557,1471.756914536388,2145.2842054805615,1408.6887460052712,2281.816613585086,1436.3446201366487,2423.036443645823,1539.7152889470171,2427.9484871461295,1677.5574357073654,2360.103968060786,1793.8248443344328
11,,,,,,,,,,,,,,,,,1304.844910834826,1288.6758818502274,1326.424771972354,1293.661465380883,1340.2440015583634,1294.080559509894,1348.3675801665702,1311.8082297381593,,,1344.866148650736,1326.072907213781,1343.158412117747,1330.0889459459702,1339.7586166584636,1338.4868073138991,1316.6993293912676,1366.5430650710057,1244.6052834121906,1429.5720438518758,1214.9474722016942,1458.0969702199238,1201.6712292837074,1485.245615966832,1177.4900944325643,1542.4414179837968,1170.2399068754262,1552.2663871477625,1168.9328510012135,1615.48110412301,1168.9410896518473,1621.6876176391747,1180.653312513391,1624.4866401374823,1189.7155980147395,1622.8445013570717,1209.1442625152827,1625.4608612465074,1218.2585270458903,1620.6998644420903,1293.1572808004055,1619.8894933028394,1343.4862617307347,1650.3790036027474,1353.0261652201966,1670.23399068932,1362.864556997805,1690.7587894386731,1373.328600629903,1700.7821968728424,1416.7364713853506,1732.2290987784475,1433.354111691446,1775.9776010500464,1441.670111598931,1791.4404714746354,1448.8867086355012,1807.292653822249,1446.8158821113136,1826.595466669469,1447.1722847616406,1843.696926822176,1453.4283179669994,1854.9748234937983,1455.7669086364363,1875.983313220606,1457.6638230033225,1911.7188808380133,1459.4471990116879,1930.486070749885,1459.6010876457092,1958.1332310159296,1457.3978117098977,1974.5802959511425,1452.2368610060068,1995.2975559149138,1451.4540103318936,2007.5306845731973,1460.0217842283153,2017.685701088078,1459.3787236189987,2029.9054677456006,1462.5060308092359,2039.131250681242,1462.9804656553233,2047.4780006969206,1467.2019444827022,2057.745972576508,1476.35520053521,2068.965591463027,1480.8604230173937,2077.2109999172935,1486.6771303969456,2088.6753794378114,1494.9070909687164,2100.8142131674535,1499.1964964755202,2112.2678835047764,1499.788705437465,2128.2301403355837,1497.0207418140812,2144.1903060150225,1496.58426392228,2161.7883913338846,1500.8975549061684,2177.7337997795266,1504.0638332368817,2198.0667833879957,1501.5246004630224,2219.4192314595543,1498.2436121613234,2259.8352872070386,1501.7502839312676,2296.596413747136,1503.1120563244626,2321.6202771789885,1499.0858955758533,2337.8846969225892,,,,,,,,,,,,,,,1563.4095835557323,2644.516517565104,1573.8954061477202,2652.7448206820422,1588.9025916523894,2659.2925007128924,1590.5201403102226,2661.207252086962,1593.8781018031,2662.4698439744566,1593.850093469998,2662.5828038120285,1593.795819475358,2662.519292256256,1593.7733685498056,2662.493821348915,1593.769029162685,2662.474042670838,1593.7640793103637,2662.5421934283195,1593.9105050853125,2662.496869266908,1593.7956112671366,2662.5147170256846,1593.8069534363399,2662.5230822850453,1593.7879502029252,2662.4951990333784,1593.800206982293,2662.4761610835617,1593.8244886771083,2662.486033605935,1593.885355859364,2662.5989842714007,1593.8262818218773,2662.5298936029467,1593.8080992967182,2662.477074344211,1593.8346625777704,2662.4385019559368,1593.7965563669184,2662.508945547383,1593.850563575279,2662.5170676177895,1593.8577558857182,2662.508378342148
15,,,,,,,,,,,,,,,,,1002.3721621689201,654.7746587085829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,1712.873021021536,813.7679758177075,1714.9131979765573,809.7161390820987,1716.156470878149,806.6627828001334,1716.883674936234,800.1705535236471,1717.9832039099108,796.0591236408143,1723.2303185702135,779.6880378341185,1722.768691305086,760.2765665896293,1718.7868936670561,743.7485537035632,,,1712.1593738414915,724.864120872622,,,1680.3729651612446,691.8543010166944,1680.0638192177657,691.7424847643209,1674.0738319816676,687.7240690385365,1668.957680019999,684.6722500898402,1668.439303870195,684.6500980633614,1664.1548635759975,682.2171937526803,1659.5814902789782,680.5921628618394,1659.4814990261877,680.4977809534706,1654.9738557451356,679.3309637542229,1654.76149489858,679.1676645609961,1654.7550399832899,679.1449265614801,1654.8361914610675,679.3654043568487,1654.2457820139907,679.1167965608923,1651.9841316283216,678.4848945073204,1651.2476822141407,678.5786061549228,1651.195269298782,678.6710150675449,1650.4508834858598,678.5434468426829,1650.4605893607843,678.5112201467061,1650.3103854520066,678.6544393886014,1650.1176086509633,678.4806370921033,1647.9587274735948,677.8888318620084,1647.5547230620543,678.0590770422192,1646.6845269548553,678.0050495577523,1646.4090442380536,678.2008333656328,1646.1442168539431,677.9367213461337,1645.7689824150038,678.1541682702818,1645.981825269096,678.0348629337032,1646.0304001730428,678.0241244649801,1645.933721812003,678.09570770105,1645.2501562821644,678.0827104772528,,,1645.0596920682783,678.0493242201081,1645.1984800677415,678.0204427382503,1644.805049240881,677.8893393870001,,,1644.5760068636152,677.9969440991633,1644.5949706730255,678.0274537134762,1644.250041912285,677.7343382886952,,,1643.7663948532843,678.2555937730423,1643.7375305148596,678.4547144010709,1643.4711884493709,678.3871335932297,1643.894049300528,678.6078078560365,1643.4588439557995,678.8964944368868,1643.0718510319616,679.18862359036,1643.220113420576,679.326406185155,1642.9254709844322,679.1209182166992,,,,,1644.032340724546,678.983616214938,1644.7755439894738,679.0048916914238,1644.9338326101083,679.0966714784581,1644.843243359429,679.0770480923998,1645.4636216973865,679.2958727873881,1646.240327917798,679.6655744816838,1645.9486288418198,679.5272180057638,1646.0821569678521,679.6641637824403,1645.7065563009032,679.4983661787998,1645.5671014345721,679.3705454765854,1645.0839650076384,679.2742692975366,1644.9686495414287,679.4908164256626,1644.699177063897,679.437592498619,1644.9569798246112,679.5419593413718,1644.5113071420544,679.2941952124418,,,1644.8784775476645,679.1787184787951,1644.483281181526,679.0350034587655,1644.5802373811662,679.0842407954137,1644.3162883604457,679.2000400308668,1644.8273161170862,679.3428013542837,1644.6574509603397,679.3620660970873,1644.6742834042939,679.3950294956204,1644.7563147358126,679.2893548036827,1644.5169664244427,679.1811733089397,1644.4528861113151,679.3688747801081,1644.5452219918052,679.3107199438396,1644.7639251375294,679.1644150237183,1644.5254439468636,679.3652904897187
18,,,,,,,,,,,,,,,,,800.9859115334278,798.2466441569314,864.6105870779093,732.5022326457382,1001.7640297748023,672.2177056479773,1064.9569107625812,625.3340991344843,1098.4768513243007,569.2008443979511,,,1280.8661185065976,433.61162301727035,1280.9208681558475,433.664181397908,,,,,,,,,,,1387.4812107073994,293.5712861144363,1392.8183354114003,290.87156082315397,1430.9104993210467,278.2954703273577,1515.6406454739258,251.6886676554409,1515.4184115279031,251.5859168194988,1517.5368103457708,249.97055108229875,1524.7030179260914,242.80542253559412,1525.060520887965,242.51208696426434,1526.4270137776248,241.56923799575165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,1568.7142540231098,1246.1749805776585,,,1683.6159261119892,1214.0478780531919,1788.6948221052053,1201.332458654246,1788.9433081235034,1201.3687311220065,1789.853675396338,1199.9954861858114,1789.838532965176,1200.0269756386165,1789.8897267968573,1199.8930316599306,1792.335775246623,1199.484449853598,1793.8605779233028,1199.1580424964884,1797.3631728303433,1198.7445022052511,1799.4108713930787,1198.867912625392,1800.3318065745161,1198.5885305903196,1800.4760171575003,1198.3379015524183,1804.679396153345,1199.667195238051,1804.8663238834033,1199.5748392506132,1823.5423104626966,1205.5083070452572,1835.4397318409292,1209.486522985507,1838.9725988884443,1209.64528568587,1841.365076589676,1209.632544454687,1845.6537639636733,1209.661622835164,1849.4804463318608,1209.60160388929,1850.2000445780684,1209.6754209870846,1853.0964990447142,1209.885220456225,1857.7691162385265,1210.519558992022,1860.9724385957581,1211.7912883321296,1862.0608125972715,1211.606288909863,1865.2200239117965,1211.5888009848024,1866.5998880623433,1211.2655053005783,1869.0123943922174,1211.5462294845506,1881.7472371684069,1212.6351682138225,1889.3762540913822,1213.9516401530598,1898.5996669671715,1213.3439143899534,1901.7624862055989,1212.1577368596575,1904.686078402097,1211.432249246451,1912.1295194226066,1211.9390249887722,1913.3196135463963,1211.5558536215144,1915.903860801194,1211.9847202014664,1918.4296531325645,1212.8089166557677,1919.2651073281177,1212.773508254116,1922.578803377471,1212.836912546956,1922.6700749921276,1212.7809818564556,1926.3920533608177,1213.5324925782709,1931.52756711225,1214.318098357694,1933.2043689050772,1214.2782842638117,1933.5796564489756,1214.2108440724005,1936.095349067566,1214.2920235318884,1937.2976539023477,1214.2842814538108,1937.977934023734,1214.1172315535207,1938.1465672541672,1214.155227049477,1938.7218995601934,1214.2822974433236,1942.6320167643316,1213.9192050589916,1945.616900929196,1214.11146510641,1947.2931605316012,1214.2017485690128,1948.924766116002,1214.0541205085112,1950.8806779695926,1214.1587597103799,1956.001442008896,1214.8122950342317,1957.7985737457961,1214.8429104857312,1958.3682910995292,1214.817849883588,1960.0717592750852,1214.3097863499295,1965.9396430053575,1214.3619362811999,1968.704688029415,1215.3924743446814,1971.6962482085694,1215.7295382123905,1972.3709676982335,1216.0002279859762,1974.8303594246545,1216.1222822951393,1977.1241711609725,1217.0176420165026,1979.7753093110866,1218.1658898478213,1980.0021712921955,1218.165222127215,1982.465129095157,1218.964687264207,1984.3274566011694,1219.4904101953355,1985.1975945890783,1219.442695787622,1986.5994333762726,1219.2182886016378,1988.4872742405214,1219.4425577981754,1992.7823310157605,1220.6549544326049,1994.7325042733528,1221.0351106486123,1996.6842805937417,1220.7783133412916,2001.686307112569,1221.6026399929556,2003.1193416732722,1221.9834467889282,2004.2841053712004,1222.1761615355626,2008.4126182266668,1222.8445110295784,2008.8160676873556,1222.8030147727834,2008.9179066670397,1222.7173141468108,2009.3947050631082,1223.1689642470312,2011.855447820444,1223.7657831023607,2016.470874564375,1224.1345527400842,2018.5931604268367,1224.3356234756639,2019.4770864984748,1224.5658663030285,2019.9346470201008,1224.4571630745934,2020.287169482328,1224.7114267458635
1,,,,,,,,,,,,,,,,,824.3487886649848,1200.2479656272124,537.1281632762582,1136.0728151146334,365.03831630546915,1181.8101333758125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
